seed,b_index,step,n_alive,n_freeze_win
8,82,820000,1,1
8,83,830000,0,0
8,84,840000,0,0
8,85,850000,0,0
8,86,860000,0,0
8,87,870000,0,0
8,88,880000,0,0
8,89,890000,0,0
8,90,900000,0,0
8,91,910000,0,0
8,92,920000,0,0
8,93,930000,1,0
8,94,940000,4,0
8,95,950000,9,4
8,96,960000,2,0
8,97,970000,6,1
8,98,980000,4,0
8,99,990000,4,0
9,1,10000,77,8
9,2,20000,61,8
9,3,30000,50,10
9,4,40000,39,4
9,5,50000,34,4
9,6,60000,34,10
9,7,70000,27,5
9,8,80000,21,3
9,9,90000,19,3
9,10,100000,21,2
9,11,110000,21,1
9,12,120000,29,6
9,13,130000,23,5
9,14,140000,26,7
9,15,150000,20,4
9,16,160000,13,2
9,17,170000,11,1
9,18,180000,12,4
9,19,190000,12,1
9,20,200000,11,1
9,21,210000,11,1
9,22,220000,10,4
9,23,230000,14,1
9,24,240000,14,2
9,25,250000,13,0
9,26,260000,14,0
9,27,270000,25,6
9,28,280000,19,2
9,29,290000,15,2
9,30,300000,15,1
9,31,310000,20,1
9,32,320000,21,8
9,33,330000,14,4
9,34,340000,10,4
9,35,350000,5,0
9,36,360000,6,2
9,37,370000,7,0
9,38,380000,10,4
9,39,390000,13,8
9,40,400000,2,0
9,41,410000,2,0
9,42,420000,4,2
9,43,430000,2,0
9,44,440000,2,0
9,45,450000,2,0
9,46,460000,2,0
9,47,470000,3,1
9,48,480000,1,0
9,49,490000,2,1
9,50,500000,2,0
9,51,510000,1,0
9,52,520000,1,0
9,53,530000,1,0
9,54,540000,1,0
9,55,550000,1,0
9,56,560000,2,0
9,57,570000,1,0
9,58,580000,1,0
9,59,590000,2,0
9,60,600000,2,0
9,61,610000,2,0
9,62,620000,2,0
9,63,630000,4,0
9,64,640000,6,2
9,65,650000,9,4
9,66,660000,4,0
9,67,670000,6,3
9,68,680000,3,0
9,69,690000,4,0
9,70,700000,4,0
9,71,710000,4,0
9,72,720000,4,0
9,73,730000,3,0
9,74,740000,5,1
9,75,750000,6,0
9,76,760000,5,0
9,77,770000,9,2
9,78,780000,13,4
9,79,790000,19,3
9,80,800000,13,3
9,81,810000,6,0
9,82,820000,12,4
9,83,830000,6,0
9,84,840000,7,1
9,85,850000,12,0
9,86,860000,12,2
9,87,870000,10,0
9,88,880000,12,1
9,89,890000,17,3
9,90,900000,16,3
9,91,910000,12,6
9,92,920000,11,3
9,93,930000,6,0
9,94,940000,11,0
9,95,950000,20,9
9,96,960000,10,2
9,97,970000,11,1
9,98,980000,8,0
9,99,990000,5,0
