arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2
KKT1,std,1,1,0.0001,15,1,5,0.7187099359,0.8488000035,0.6900000572,0.8488000035,0,0,-0.8014013171,7.704508305,-4.293291092,0.9223570228,46.29854933,0,0,-1.99634099,4.968279839,-9.468242645,0.8019793034,46.66725721,0.9679313898,0.6296893358,0.7168197036,0.07912692428,0.0302432999,0.2324670255,0,1.200000048,0.1246897504,0.03951431066,0.257517755,0,1.200000048
KKT1,std,1,1,0.0001,16,0,1,0.9604967949,1,0.9799999595,1,0,0,-0.6201402545,6.666840553,-11.44521046,0.9044155478,40.19780417,0,0,-2.905404091,5.721785069,-12.72684956,0.7240931988,36.85783886,0.9783040881,0.6281078458,0.7024877667,0.09132400155,0.02267776243,0.3251529932,0,1.200000048,0.107292898,0.03066066466,0.2704215944,0,1.200000048
KKT1,std,1,1,0.0001,17,1,5,0.6257612179,0.7799999714,0.5920000076,0.7799999714,0,0,-0.1340188235,6.118113518,-3.378299952,0.9809392095,49.01315276,0,0,-2.18416214,4.749843597,-8.413056374,0.7590209246,48.87859618,0.9881686568,0.6297097206,0.6828950047,0.1015773714,0.02989127114,0.2603171766,0,1.200000048,0.129514426,0.0424144417,0.2415052801,0,1.200000048
KKT1,std,1,1,0.0001,18,0,1,0.9805288462,1,0.9599999785,1,0,0,-4.555076122,5.986539841,-20.88998604,0.6747667789,39.60579113,0,0,-1.667083383,3.964493513,-10.64398766,0.8696700931,36.68538487,1.003364801,0.6273530722,0.682898581,0.1010565385,0.04340521246,0.2018320858,0,1.200000048,0.1538539231,0.05021539703,0.3604384363,0,1.200000048
KKT1,std,1,1,0.0001,19,1,5,0.6959935897,0.8420000076,0.6920000315,0.8420000076,0,0,-0.7707923055,7.220295429,-3.829329491,0.9192960858,51.1729723,0,0,-1.275791764,5.230548859,-10.04937077,0.9062549472,51.13449463,1.029483199,0.6286621094,0.7098485231,0.08713167161,0.02639579587,0.2554625571,0,1.200000048,0.1200893968,0.05041422322,0.2875548899,0,1.200000048
KKT1,std,1,1,0.0001,20,0,1,0.9600961538,1,0.9899999499,1,0,0,-1.416810513,5.7964468,-7.192665577,0.8323868513,49.52896016,0,0,-2.099715471,4.063118935,-9.172175407,0.7123397589,44.31057159,1.020325065,0.6272005439,0.7253345251,0.1049382314,0.03830649331,0.295462817,0,1.200000048,0.1502454281,0.04342422262,0.3172622025,0,1.200000048
KKT1,std,1,1,0.0001,21,1,5,0.6489983974,0.7919999957,0.6700000167,0.7919999957,0,0,-0.8000317216,7.308005333,-4.572133541,0.9221149087,48.8523082,0,0,-2.775881529,5.404970169,-10.93969631,0.7404158115,45.22010476,1.047249794,0.6301335096,0.7314665914,0.0840922147,0.02537398227,0.2275785804,0,1.200000048,0.1183450595,0.03319537267,0.2868008316,0,1.200000048
KKT1,std,1,1,0.0001,22,0,1,0.9622195513,1,0.9899999499,1,0,0,-2.26383853,5.689374447,-10.13616085,0.778516531,42.9687671,0,0,-3.532200575,4.805695534,-13.11636734,0.6744581461,37.7980581,1.048909903,0.6299854517,0.7306462526,0.1054866686,0.02945563197,0.2362730354,0,1.200000048,0.1270213574,0.03682379052,0.2754321694,0,1.200000048
KKT1,std,1,1,0.0001,23,1,5,0.7068509615,0.8399999738,0.7340000272,0.8399999738,0,0,-0.7293299437,6.89512825,-3.398872614,0.9347110987,49.61670906,0,0,-2.882416248,5.595373631,-8.572808266,0.7936137915,48.79420177,1.084130406,0.6357394457,0.7115465999,0.09018361568,0.01887321472,0.1669331789,0,1.200000048,0.1111622527,0.04173069447,0.2871825695,0,1.200000048
KKT1,std,1,1,0.0001,24,0,1,0.9651041667,1,0.969999969,1,0,0,-3.581683874,5.538634777,-9.594601631,0.6410970092,48.81520511,0,0,-0.8289228082,4.293357849,-6.844753742,0.8798902035,45.16427483,1.068633318,0.6362947226,0.7269942164,0.1095150113,0.0365162082,0.2008339316,0,1.200000048,0.1421954334,0.05124983564,0.2660446763,0,1.200000048
