task,N,N2,D2,erode,cos,rowmean,bias,arm,kind,param,seed,steps2,persist,kappa_g,absd2,gate_cv,sd,zbar,acc,E,E_pred,r_W1b1,r_W2,r_scale
100,6.076189128006788,39.76251956543463,0.729762660576928,-0.46463688854017526,nan,-0.03311759778453482,-0.004228976923041045,R,relu,0.0,2,0.015312219670290405,47.65884217249396,0.0,0.0,2.2114632074756635,4.634337821990214,-3.55457386873718,0.8977000117301941,8.4908133579642e-09,0.0,0.006802657825333,0.006802649334519642,15.954092369659573
101,6.102739171345188,40.11950761854509,0.8535918474846251,-0.49660379437416824,nan,-0.033449294255636135,-0.005086097773164511,R,relu,0.0,2,,,,,,,,,,,,,
102,6.128838525586585,40.46107264203474,0.8446775689451022,-0.5031125454554499,nan,-0.0333339428269403,-0.004948841752484441,R,relu,0.0,2,,,,,,,,,,,,,
103,6.154179630861932,40.81001006358419,0.8083570727859433,-0.45941965123649536,nan,-0.033543520761341254,-0.003572379976976663,R,relu,0.0,2,,,,,,,,,,,,,
104,6.181425991048437,41.194702387126284,0.8315727438105054,-0.446880420268418,nan,-0.03343548811711317,-0.001624268579762429,R,relu,0.0,2,,,,,,,,,,,,,
105,6.202288688085564,41.48634752559288,0.7828612643467439,-0.49121612588013613,nan,-0.033919558000751186,-0.004371708706021309,R,relu,0.0,2,,,,,,,,,,,,,
106,6.230360180937498,41.86710863470333,0.8048066892933197,-0.42404558018288213,nan,-0.03408923105886579,-0.004471060836222023,R,relu,0.0,2,,,,,,,,,,,,,
107,6.257972935394034,42.24482203253957,0.8352508196695831,-0.45753742183333096,nan,-0.034070281866413185,-0.0030553820729255676,R,relu,0.0,2,,,,,,,,,,,,,
108,6.288242906977323,42.65562703960623,0.8765336083831133,-0.46572860131646254,nan,-0.034025712038582644,-0.0030012947239447386,R,relu,0.0,2,,,,,,,,,,,,,
109,6.311330427587256,42.98198804885149,0.8251473682014402,-0.4987863589561832,nan,-0.03396709929104182,-0.0018991567846387625,R,relu,0.0,2,,,,,,,,,,,,,
110,6.331219366453467,43.27296665202566,0.7620122868884096,-0.4710336837142302,nan,-0.03397404039014352,-0.001794100934639573,R,relu,0.0,2,0.016130225604402117,47.24126652515313,0.0,0.0,2.1639469436853207,4.878776966559551,-3.708936558022001,0.8935999870300293,,,,,
111,6.351675284363774,43.5608926954422,0.8278644899564616,-0.5399384465399212,nan,-0.0346235984135709,-0.00346313014626503,R,relu,0.0,2,,,,,,,,,,,,,
112,6.368127057719647,43.800425318681135,0.7393606823038575,-0.4998280590649169,nan,-0.03510876261711995,-0.0052017440693452955,R,relu,0.0,2,,,,,,,,,,,,,
113,6.386326625058318,44.07202469924846,0.7892861430903395,-0.51768676252302,nan,-0.03584651499417361,-0.0064364073029719296,R,relu,0.0,2,,,,,,,,,,,,,
114,6.4218495903932356,44.53048254581456,0.962465043651163,-0.5040071970850619,nan,-0.03550600619257104,-0.0032152935257181523,R,relu,0.0,2,,,,,,,,,,,,,
115,6.451048791575236,44.924295301699345,0.8977656648189872,-0.5039529089341929,nan,-0.03489554405355719,-0.0013762974156998097,R,relu,0.0,2,,,,,,,,,,,,,
116,6.4843372147833165,45.36409628121113,0.9114312822099491,-0.47163030269817335,nan,-0.034773431573602534,-0.0006210654531605542,R,relu,0.0,2,,,,,,,,,,,,,
117,6.509265063493667,45.71120222919235,0.8312855603843068,-0.48417961240308954,nan,-0.03425680581229426,0.0007170577748911455,R,relu,0.0,2,,,,,,,,,,,,,
118,6.532338931851166,46.03597296353668,0.8353994325028836,-0.5106286981585578,nan,-0.034989912300583195,-0.00071284658042714,R,relu,0.0,2,,,,,,,,,,,,,
119,6.556136146594188,46.36966175396603,0.8328656198302915,-0.4991768294009399,nan,-0.034115498512256294,0.0017208008375018836,R,relu,0.0,2,,,,,,,,,,,,,
120,6.595447462896618,46.87899913312955,0.8961553309451944,-0.3868179517816733,nan,-0.033994353448400905,0.003149479882558808,R,relu,0.0,2,0.018862442117082167,47.510037426893945,0.0,0.0,2.0531743554909028,5.115667831100573,-3.3539558768547453,0.8934999704360962,9.357490206307606e-09,0.0,-0.024761469019676692,-0.0247614783771669,31.12205416489801
