exp,width,period,enc,c,lr,ckpt,kind,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,git_hash
A,100,10000,std,,0.003,0,raw,3370,1156,594,304,222,132,102,67,69,86,65,72,103,98,64,53,63,45,31,57,32,38,50,49,49,64,90,92,68,74,84,101,61,97,118,202,358,590,1178,3476,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,10000,std,,0.003,10000,raw,2969,1247,677,319,130,74,64,66,112,64,49,73,47,36,39,35,29,20,20,14,16,14,16,32,32,35,61,55,46,54,89,91,94,72,83,139,361,686,1363,3339,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,10000,std,,0.003,50000,raw,1965,1139,505,269,206,160,138,104,62,68,60,72,73,88,50,60,45,48,63,82,84,84,74,74,51,61,61,83,78,77,58,70,93,133,168,206,260,543,1170,2002,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,10000,std,,0.003,100000,raw,1778,775,450,313,232,182,149,147,120,100,83,77,64,61,69,53,48,19,27,22,37,33,44,47,63,75,78,91,92,119,122,123,143,152,175,229,330,537,874,1851,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,10000,std,,0.003,300000,raw,397,356,239,180,130,116,89,86,76,72,55,68,60,71,71,54,55,63,50,34,63,62,47,43,40,49,71,58,57,66,71,66,86,103,93,127,164,241,363,411,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,10000,std,,0.003,1000000,raw,127,137,89,80,73,77,56,75,42,59,63,48,59,48,55,46,56,56,46,32,43,46,54,40,56,40,52,56,59,53,54,48,55,65,80,61,73,89,149,100,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,10000,std,,0.01,0,raw,3047,1121,650,357,283,146,157,102,78,81,110,82,68,65,43,37,26,43,30,19,23,25,43,41,31,49,46,63,100,103,66,81,75,150,159,266,379,643,1135,3089,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,10000,std,,0.01,10000,raw,954,934,656,573,362,344,292,205,188,180,181,157,154,124,144,146,136,157,125,113,124,138,139,136,145,130,125,148,170,168,187,199,199,264,298,384,510,678,939,1048,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,10000,std,,0.01,50000,raw,941,717,392,204,112,85,119,111,75,69,62,65,88,63,58,41,39,46,54,57,63,58,34,42,58,48,64,60,68,65,73,82,74,110,107,131,235,388,754,989,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,10000,std,,0.01,100000,raw,331,318,231,118,58,54,33,43,35,28,31,38,30,20,15,6,10,14,13,13,13,18,10,16,24,17,19,23,42,33,23,39,43,40,62,83,142,232,299,347,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
