arm,seed,is_control,source,median_s,median_M,median_B,median_denom,median_zbar,n_na_M,n_na_B,n_records,median_M_plus_median_B
LR_a0p0001_1216,0,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p0001_1216_seed0.npz,-3.3934648424386977,-2.903431248664856,-0.48548839390277865,1.5353193700313568,-5.280459690093994,0,0,10,-3.3889196425676347
LR_a0p0001_1216,1,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p0001_1216_seed1.npz,-3.191914589703083,-2.7188259959220886,-0.4693422704935074,1.7400042474269868,-5.535852146148682,0,0,10,-3.188168266415596
LR_a0p0001_1216,2,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p0001_1216_seed2.npz,-3.235639276355505,-2.7676344871520997,-0.48035633713006975,1.5613903999328613,-5.112393069267273,0,0,10,-3.2479908242821693
LR_a0p0001_1216,3,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p0001_1216_seed3.npz,-3.2557210825383662,-2.774109947681427,-0.45664232820272443,1.554986584186554,-4.827471542358398,0,0,10,-3.2307522758841514
LR_a0p0001_1216,4,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p0001_1216_seed4.npz,-3.1154737204313276,-2.6559786677360533,-0.42746791541576384,1.8185324966907501,-5.694312906265258,0,0,10,-3.083446583151817
LR_a0p0001_1216,5,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p0001_1216_seed5.npz,-3.1130840972065927,-2.616664266586304,-0.4910406291484833,1.5728913068771362,-4.7236754417419435,0,0,10,-3.1077048957347873
LR_a0p0001_1216,6,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p0001_1216_seed6.npz,-3.208314189314842,-2.7179980278015137,-0.455413943529129,1.4832517206668854,-4.763040447235108,0,0,10,-3.173411971330643
LR_a0p0001_1216,7,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p0001_1216_seed7.npz,-3.3159483190625907,-2.816699469089508,-0.4849455863237381,1.7107652425765991,-5.4261311292648315,0,0,10,-3.301645055413246
LR_a0p0001_1216,8,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p0001_1216_seed8.npz,-3.1838105753064156,-2.6654393911361693,-0.48862963616847993,1.5365022718906403,-5.021646571159363,0,0,10,-3.1540690273046494
LR_a0p0001_1216,9,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p0001_1216_seed9.npz,-3.161552748829126,-2.657276749610901,-0.45477117151021956,1.4852863013744355,-4.536263442039489,0,0,10,-3.1120479211211203
E_a0p1_1216,0,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/E_a0p1_1216_seed0.npz,-3.416923592984676,-2.8638556361198426,-0.5239764034748078,1.9668285429477692,-6.527696180343628,0,0,10,-3.3878320395946506
E_a0p1_1216,1,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/E_a0p1_1216_seed1.npz,-3.198812311142683,-2.735250771045685,-0.4971310466527939,2.2416838645935058,-7.003866267204285,0,0,10,-3.232381817698479
E_a0p1_1216,2,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/E_a0p1_1216_seed2.npz,-3.3030300438404083,-2.8751336693763734,-0.4876632675528526,1.7335941016674041,-5.9994285821914675,0,0,10,-3.362796936929226
E_a0p1_1216,3,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/E_a0p1_1216_seed3.npz,-3.367433127015829,-2.8700276255607604,-0.5140268921852111,2.0185346961021424,-6.725741052627564,0,0,10,-3.3840545177459713
E_a0p1_1216,4,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/E_a0p1_1216_seed4.npz,-3.0443418957293034,-2.591543173789978,-0.4591302707791328,2.283657419681549,-6.568595242500305,0,0,10,-3.050673444569111
E_a0p1_1216,5,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/E_a0p1_1216_seed5.npz,-3.135112086683512,-2.605734884738922,-0.5473263323307037,1.8782212376594543,-5.827389574050903,0,0,10,-3.153061217069626
E_a0p1_1216,6,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/E_a0p1_1216_seed6.npz,-3.394621030986309,-2.873633015155792,-0.5285118103027344,1.9649711728096009,-6.245646548271179,0,0,10,-3.4021448254585263
E_a0p1_1216,7,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/E_a0p1_1216_seed7.npz,-3.008993760496378,-2.609031546115875,-0.3904533520340919,2.386160683631897,-6.878341293334961,0,0,10,-2.999484898149967
E_a0p1_1216,8,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/E_a0p1_1216_seed8.npz,-3.0757460556924343,-2.5973854064941406,-0.4934416890144348,2.006947320699692,-6.1157886505126955,0,0,10,-3.0908270955085753
E_a0p1_1216,9,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/E_a0p1_1216_seed9.npz,-3.072505812346935,-2.5960081815719604,-0.49662665724754335,2.076376259326935,-6.384580159187317,0,0,10,-3.092634838819504
E_a0p01_1216,0,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/E_a0p01_1216_seed0.npz,-3.1591356985270975,-2.698138952255249,-0.4610306993126869,2.014621287584305,-6.193610000610351,0,0,10,-3.159169651567936
E_a0p01_1216,1,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/E_a0p01_1216_seed1.npz,-3.2106823958456516,-2.7387394070625306,-0.4822643041610718,2.098017191886902,-6.637453579902649,0,0,10,-3.2210037112236023
E_a0p01_1216,2,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/E_a0p01_1216_seed2.npz,-3.1391386672854424,-2.7672884345054625,-0.4395355060696602,1.7688590288162231,-5.378573203086853,0,0,10,-3.2068239405751227
E_a0p01_1216,3,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/E_a0p01_1216_seed3.npz,-3.1672524861991405,-2.720090162754059,-0.430812856554985,1.9491660833358764,-5.959524774551392,0,0,10,-3.150903019309044
