step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,neg_gate_frac,eval_loss
200000,A_w100_T10000_std_lr0.01_cbp1e-5_s2,0.2,0.00222222,0.19,15.8652,6.70095,0.189307,0.501535,0,0.00246586,0.0333027,0.0740439,18.8379,0.147978,0.2,0.00022082
200000,A_w100_T10000_std_lr0.01_cbp1e-5_s3,0.55,0.0010101,0.48,14.3443,5.82062,0.192389,0.503182,0,0.00785817,0.0413957,0.189831,18.8532,0.132375,0.55,0.000390069
200000,A_w100_T10000_std_lr0.01_cbp1e-5_s4,0.19,0.00282828,0.16,15.0317,5.99907,0.187985,0.499828,0,0.00133532,0.00395025,0.338034,19.0823,0.12554,0.19,2.32088e-05
210000,A_w100_T10000_std_lr0.01_cbp1e-5_s0,0.39,0.00161616,0.35,14.3629,4.21171,0.188803,0.502071,0.00020202,0.00524446,0.0230474,0.227551,18.7978,0.154374,0.39,0.00011882
210000,A_w100_T10000_std_lr0.01_cbp1e-5_s1,0.5,0.0010101,0.44,15.2171,6.09033,0.196598,0.505838,0,0.000471341,0.00481682,0.0978532,18.7087,0.151171,0.5,2.76541e-05
210000,A_w100_T10000_std_lr0.01_cbp1e-5_s2,0.31,0.0020202,0.33,13.3886,5.76844,0.187813,0.499899,0,3.00652e-05,0.000815322,0.0368753,18.9682,0.132952,0.31,4.87422e-06
210000,A_w100_T10000_std_lr0.01_cbp1e-5_s3,0.44,0.000808081,0.46,13.6985,6.04353,0.19165,0.503485,0,1.13695e-07,2.7443e-06,0.0414296,18.8559,0.133645,0.44,1.44656e-08
210000,A_w100_T10000_std_lr0.01_cbp1e-5_s4,0.23,0.00282828,0.33,15.6242,7.32585,0.190314,0.499838,0,1.06558e-07,1.35847e-06,0.0784401,19.0027,0.134274,0.23,6.63017e-09
220000,A_w100_T10000_std_lr0.01_cbp1e-5_s0,0.38,0.0010101,0.34,15.7562,5.26758,0.191211,0.501808,0,1.83856e-05,0.000689386,0.0266696,18.7042,0.155568,0.38,3.62417e-06
220000,A_w100_T10000_std_lr0.01_cbp1e-5_s1,0.51,0.000808081,0.48,14.689,4.8993,0.199377,0.506465,0,0.00160188,0.0425043,0.0376876,18.6181,0.149442,0.51,0.000176445
