task,N,N2,D2,erode,cos,rowmean,bias,arm,seed,steps2,persist,zbar_cur,sigma_cur,zbar_inv,sigma_inv,acc,E,E_pred,E_pred_wrong,r_1,r_2,r_scale
95,8.46885357556607,73.62799618584188,4.937135180162601,-4.651736435096274,-0.12616552281668544,-0.40055944835834156,0.07590476274490357,LIN0,0,,,,,,,,,,,,,
96,8.47906812191642,73.79075742541065,5.569928843489469,-5.407167603920702,-0.13518658106869857,-0.40398651303821864,0.07618638128042221,LIN0,0,,,,,,,,,,,,,
97,8.490158653790846,73.95124412829395,5.803241655756172,-5.642754952872852,-0.13562041436697964,-0.40795172460945023,0.07618715167045594,LIN0,0,,,,,,,,,,,,,
98,8.487088567216901,73.91602396040551,5.854189810865099,-5.889409978753565,-0.14101177861422687,-0.41175311900530165,0.07628756761550903,LIN0,0,,,,,,,,,,,,,
99,8.509614848397955,74.32779838675957,5.209101771131148,-4.797327344777081,-0.12521424718207874,-0.41496575934087954,0.07734060734510421,LIN0,0,,,,,,,,,,,,,
100,8.510566478970233,74.30049217488663,5.613446954002768,-5.640753165875718,-0.13771322586327353,-0.41888016097551806,0.07750126719474792,LIN0,0,0.04296635143238096,130.64751292268852,-43.420640586506956,15.719974752279498,-43.48328776640004,15.408983604377386,0.8449000120162964,-0.028156531125579573,-0.028156546103384084,0.010538287268556119,-0.028156531125579573,0.0,8.476321413664259
101,8.485766256755506,73.9105500432768,6.38361066171953,-6.77355279332934,-0.15712050635669922,-0.4224685182011835,0.0789504274725914,LIN0,0,,,,,,,,,,,,,
102,8.511167879824423,74.3629318448146,6.24873649177059,-5.796354690232796,-0.13607503181460073,-0.4267181082720108,0.07874318659305572,LIN0,0,,,,,,,,,,,,,
103,8.535516814667798,74.77704499076268,5.020201911723648,-4.606088765775576,-0.12150546519913907,-0.4305603185052294,0.07878885865211487,LIN0,0,,,,,,,,,,,,,
104,8.537619137107175,74.75185976725012,5.314102981216779,-5.339288204729326,-0.1338148739677126,-0.4332070453398472,0.07936653345823289,LIN0,0,,,,,,,,,,,,,
105,8.52640643139568,74.53984817872305,6.0408428768201725,-6.2528544653472355,-0.14522107013081406,-0.4364395388100445,0.08134278506040574,LIN0,0,,,,,,,,,,,,,
106,8.50607932356231,74.09417051003352,6.118415387229048,-6.564093055918578,-0.1484582807594314,-0.43988026647771006,0.0813126727938652,LIN0,0,,,,,,,,,,,,,
107,8.513135908398993,74.17701931847276,4.562537683426135,-4.47968887498691,-0.12085823014143104,-0.4429304999439001,0.08062930852174759,LIN0,0,,,,,,,,,,,,,
108,8.507088665949004,74.10211091476768,5.483263760244576,-5.5581721639496475,-0.14008531602737184,-0.4467013690708492,0.08040217012166977,LIN0,0,,,,,,,,,,,,,
109,8.518883243609137,74.32605238083686,5.993728494370619,-5.769787028301444,-0.13847870265432763,-0.4512163501493127,0.0797696828842163,LIN0,0,,,,,,,,,,,,,
110,8.510785345400567,74.15020397787528,5.769880753586699,-5.94572915654829,-0.14269896911200716,-0.4549865838339187,0.08123159259557725,LIN0,0,0.04414789751235215,130.6943496453561,-47.071934856435874,16.823900545575327,-47.20487812249827,16.693240570960263,0.8468000292778015,,,,,,
111,8.520134282174464,74.29918766332646,4.725582705450145,-4.576599019998961,-0.12385365991537274,-0.4578451875080162,0.08072696179151535,LIN0,0,,,,,,,,,,,,,
112,8.525804271254257,74.34027079912849,5.69600055231105,-5.65491741650902,-0.13504376101831467,-0.4613242416248563,0.08169655054807663,LIN0,0,,,,,,,,,,,,,
113,8.549681315862012,74.78334833354054,5.3343812823536325,-4.891303747941565,-0.12628727622085636,-0.46466966270158344,0.08213990330696105,LIN0,0,,,,,,,,,,,,,
114,8.535690264091013,74.60989844332948,5.388703494556848,-5.5621533847679085,-0.14315210440253695,-0.46780669247565054,0.08160560429096222,LIN0,0,,,,,,,,,,,,,
115,8.508911989037747,74.15288586770224,6.921012491801173,-7.378025067428425,-0.16399843816523277,-0.471721616894999,0.0833572968840599,LIN0,0,,,,,,,,,,,,,
116,8.532242850533313,74.5082939310532,5.358808489891659,-5.0034004265407095,-0.12360668959066912,-0.47524258814192777,0.08383196592330933,LIN0,0,,,,,,,,,,,,,
117,8.532962793026943,74.5739292676038,5.900068157092256,-5.834432820541634,-0.14220802108772865,-0.47848216432728397,0.0845225840806961,LIN0,0,,,,,,,,,,,,,
118,8.51701139510627,74.35237549392764,4.904066918718182,-5.125620692394357,-0.1374175632655738,-0.481266075408449,0.08439934551715851,LIN0,0,,,,,,,,,,,,,
119,8.542293922900125,74.75545359636305,5.108379884173174,-4.705301781737747,-0.11723865478871258,-0.4849353578087241,0.08394585251808166,LIN0,0,,,,,,,,,,,,,
120,8.509691734425783,74.17854299472631,6.42759943101635,-7.004510032653101,-0.1597898350178276,-0.4889427748423816,0.08550434708595275,LIN0,0,0.04715781467920523,136.2997728953431,-50.736082166376306,18.044466365275024,-50.70346317208353,17.891202145167277,0.8384000062942505,0.012990531548108298,0.01299048813312248,0.003624001065818098,0.012990531548108298,0.0,9.6820214014709
