task,f,shock_ce,shock_acc,N,N2,D2,cos,arm,k,act,param,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,sigma,zbar,posfrac,acc
71,0.9043367346938775,0.14888539910316467,0.954345703125,3.6608757596862898,13.444253503975174,0.2331860299313618,-0.042077222778561546,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
72,0.9005102040816326,0.18138302862644196,0.94189453125,3.6808608898160293,13.59121956736888,0.24441420487993237,-0.0272358880748028,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
73,0.9005102040816326,0.3703429400920868,0.880126953125,3.697167082515401,13.71056504839901,0.2441836912093735,-0.03422149427034833,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
74,0.9005102040816326,0.292999267578125,0.909912109375,3.7077174443533996,13.788886423225362,0.23129947298015552,-0.043687972803431625,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
75,0.9017857142857143,0.19498223066329956,0.93896484375,3.724197489412353,13.911334225108462,0.21304017635632164,-0.02761719652994607,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
76,0.9030612244897959,0.1745029091835022,0.947998046875,3.740336399704077,14.032503107354081,0.22305060221115966,-0.029634041184604297,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
77,0.9005102040816326,0.24806611239910126,0.922119140625,3.751442211990158,14.115653792501915,0.23574012003195882,-0.04277637502245988,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
78,0.9005102040816326,0.24476616084575653,0.92333984375,3.7690512404865326,14.249248573428794,0.22017118573062952,-0.0254679280036237,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
79,0.9017857142857143,0.23768115043640137,0.91943359375,3.77908839288432,14.326535666283716,0.2514699992539658,-0.04710417270572436,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
80,0.9017857142857143,0.18997573852539062,0.94384765625,3.7909838975476315,14.416681440832635,0.19888262322016775,-0.03223724318843781,K010_SN06,0.1,snake,0.6,2,0.0009292146606169169,0.8393243458517535,3.34362202963115e-05,0.42377727826837996,78.13244002838842,0.08356395480385996,0.9348618554839533,1.0,7.105427357601002e-15,0.014797324451655602,13.440444850009065,1.3319211556584938,-0.6114620378572154,0.2873828125,0.9567000269889832
81,0.9005102040816326,0.24226172268390656,0.920654296875,3.8046041797229084,14.522511860997366,0.23250020296582338,-0.03682081973699892,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
82,0.9030612244897959,0.14700110256671906,0.953125,3.819136887494325,14.634433031755153,0.19716673031212772,-0.026556102490196173,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
83,0.9005102040816326,0.21948474645614624,0.928955078125,3.831757259570385,14.730965832286332,0.24889434678960043,-0.040219879051801834,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
84,0.9017857142857143,0.20218047499656677,0.935546875,3.845216471935176,14.835410250984017,0.22000814430976084,-0.03303689192438337,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
85,0.9017857142857143,0.2701984941959381,0.90869140625,3.859690937924347,14.948018626856147,0.23874903269223716,-0.03467259143638256,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
86,0.9005102040816326,0.29499301314353943,0.904296875,3.868460589742225,15.013848445376192,0.218249171216197,-0.04214428054233281,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
87,0.9043367346938775,0.1965002715587616,0.94140625,3.8761949007210177,15.072861711916438,0.22052134777150378,-0.04483861936591792,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
