seed,env,act,task,floor_acc,online_acc,online_ce,finite,train_acc,train_ce,zmean_l1,gate_mean_l1,lowgate_l1,tinygate_l1,neggate_l1,zmed_l1,zmean_l2,gate_mean_l2,lowgate_l2,tinygate_l2,neggate_l2,zmed_l2,wnorm_l1,wnorm_l2,wnorm_l3,cnorm_l1
0,PM,LR,85,0.1191667,0.9781458,0.1051089,True,1,0.0002425011,-7.296602,0.223735,0,0,0,-6.013737,-15.18084,0.1991275,0,0,0,-15.45372,15.40418,5.839359,4.537012,15.21286
0,PM,ELU1,85,0.1191667,0.9821771,0.08062068,True,1,0.0002442737,-4.075396,0.2911555,0.6017668,0.02914167,0,-5.020384,-34.04655,0.07766125,0.9080999,0.7280251,0,-36.48684,15.23813,6.026693,4.345717,15.10934
0,PM,R,85,0.1191667,0.8648021,0.4245273,True,0.9816667,0.07842223,-7.623389,0.03004167,0.9699584,0.9699584,0,-8.294399,-12.08926,0.123625,0.876375,0.876375,0,-12.49183,8.11766,4.983111,31.67432,7.846022
0,PM,GELU,85,0.1191667,0.1172604,2.297485,True,0.1191667,2.297188,-7.498199,0.03635918,0.9236167,0.6921167,0.8267584,-9.230621,-71.15118,-2.12547e-21,1,1,0.002308333,-58.96853,12.40025,14.45592,27.74303,12.14825
0,PM,SILU,85,0.1191667,0.5433958,1.368353,True,0.8533334,0.5609403,-7.56127,0.03552137,0.8191084,0.02414167,0.9289583,-8.108738,-23.32601,-0.002137213,0.9599584,0.4805501,0.9864001,-22.42665,15.098,13.43999,39.83593,14.92616
1,RL,LR,85,0.1183333,0.4554792,1.640886,True,0.7291667,0.8781086,-11.76286,0.1251175,0,0,0,-11.98564,-8.605408,0.1187725,0,0,0,-8.591412,31.67519,4.350695,4.670609,31.25856
1,RL,ELU1,85,0.1183333,0.1023125,2.320016,True,0.09833334,2.315804,-1.124527,0.3020503,0.6616333,0.1939166,0,-10.12251,-183.4769,8.067441e-15,1,1,0,-185.0071,13.23887,4.06054,3.760628,12.99294
1,RL,R,85,0.1183333,0.1168958,2.299006,True,0.1183333,2.29819,-5.871558,0,1,1,0,-6.65449,-0.2616176,0,1,1,0,-0.004888603,3.085286,2.350704,6.040824,3.001943
1,RL,GELU,85,0.1183333,0.2013229,2.065572,True,0.265,1.896911,-21.58701,0.0001805811,0.9968501,0.9789,0.21815,-21.61073,-0.1227045,0.4342671,0.01684167,0.0045,0.02039167,-0.1135114,17.9824,28.69374,9.488102,17.89461
1,RL,SILU,85,0.1183333,0.1168333,2.305624,True,0.1183333,2.298177,-30.47793,0.04084403,0.9575667,0.8687167,0.9543749,-38.80772,-98.92383,-1.463019e-08,1,0.9989167,0.49435,-94.23958,19.775,15.61963,93.99349,19.11524
1,PM,LR,85,0.1141667,0.9751562,0.09866771,True,1,0.0005170838,-11.3443,0.154105,0,0,0,-10.60106,-15.77513,0.1640425,0,0,0,-16.02223,16.4529,6.041311,4.440882,16.11569
1,PM,ELU1,85,0.1141667,0.9842396,0.07649003,True,1,0.000251747,-3.950115,0.3404894,0.565,0.04831667,0,-5.09474,-36.64698,0.07113974,0.9183584,0.7632917,0,-35.01995,15.89656,6.025642,3.946345,15.7516
1,PM,R,85,0.1141667,0.8827292,0.3923153,True,0.9725,0.1298073,-7.269614,0.0329,0.9671,0.9671,0,-7.908899,-18.36818,0.05841667,0.9415834,0.9415834,0,-16.47279,8.600002,4.723089,27.02516,8.35454
1,PM,GELU,85,0.1141667,0.7926562,0.6993489,True,0.9758334,0.116523,-9.073995,0.01000774,0.9551499,0.7339501,0.8434833,-9.227255,-15.33366,0.04122507,0.8001001,0.5669416,0.5808166,-9.959257,12.8312,19.84281,23.52406,12.70997
1,PM,SILU,85,0.1141667,0.9504271,0.2421768,True,1,0.001175898,-10.77657,-0.004072185,0.9089666,0.04916666,0.9801584,-10.54676,-0.3559541,0.3758523,0.1085833,0,0.1765583,-0.2726757,13.65274,13.01881,10.94084,13.42097
2,RL,LR,85,0.1141667,0.4695104,1.596872,True,0.745,0.8370447,-11.78429,0.1247575,0,0,0,-11.94188,-8.957444,0.119875,0,0,0,-9.060934,31.94808,4.380043,4.694066,31.57717
2,RL,ELU1,85,0.1141667,0.098875,2.32097,True,0.1141667,2.310727,-3.633932,0.2689842,0.6866083,0.235825,0,-10.53671,-160.3825,1.319764e-10,1,0.9999583,0,-156.5054,14.52559,4.569288,4.052362,14.31032
2,RL,R,85,0.1141667,0.1125208,2.300236,True,0.1141667,2.299591,-5.874896,0,1,1,0,-6.683026,-0.2040938,0,1,1,0,-0.00363094,3.18394,2.36093,5.199898,3.106436
2,RL,GELU,85,0.1141667,0.1897812,2.090631,True,0.245,1.947997,-20.64205,0.0001070311,0.9968667,0.9771001,0.2401333,-20.47611,-0.07635826,0.4626865,0.01321667,0.004241666,0.015175,-0.05495942,18.12058,28.78557,8.662801,18.03038
2,RL,SILU,85,0.1141667,0.2600833,1.929968,True,0.3475,1.698523,-31.85104,0.0001086907,0.9934916,0.7772001,0.997325,-31.10986,-0.6641281,0.2813869,0.101425,0.0009,0.193625,-0.4211837,36.51509,27.53346,7.26836,35.58883
2,PM,LR,85,0.1158333,0.9788229,0.09816116,True,1,0.0002223222,-9.376398,0.1990225,0,0,0,-7.984282,-14.91674,0.188725,0,0,0,-15.76135,16.04333,5.960759,3.872566,15.7129
2,PM,ELU1,85,0.1158333,0.9766563,0.1086601,True,1,0.0003206728,-5.040396,0.2875405,0.6167917,0.05699167,0,-5.308849,-32.02689,0.06951631,0.9175249,0.72625,0,-30.25677,16.37721,6.134492,4.111703,16.22618
2,PM,R,85,0.1158333,0.7782083,0.6066716,True,0.94,0.1900187,-7.568244,0.02530833,0.9746916,0.9746916,0,-8.519296,-13.0581,0.1003417,0.8996584,0.8996584,0,-13.23145,8.107022,4.775711,35.1532,7.823016
2,PM,GELU,85,0.1158333,0.1158333,2.300527,True,0.1158333,2.300244,-6.716023,0.0504124,0.8925334,0.6458834,0.818775,-8.65752,-74.16243,-6.392633e-15,1,1,0.003241667,-57.24761,12.51901,13.73343,24.3059,12.21994
2,PM,SILU,85,0.1158333,0.3873542,1.736428,True,0.5766667,1.213169,-8.925913,0.04939246,0.8492417,0.08877501,0.9251,-9.650907,-36.26734,-0.0007710502,0.9898167,0.7209166,0.9633417,-31.97253,16.96004,14.48546,54.5358,16.62657
0,RL,LR,86,0.1216667,0.4301875,1.69406,True,0.7083334,0.9005776,-12.53981,0.115255,0,0,0,-12.69194,-8.493413,0.12757,0,0,0,-8.773623,33.23537,4.626238,4.162438,32.84027
