seed,env,checkpoint,layer,branch,task,step,ce,acc,online_ce,online_acc
0,PM,50,1,RB20,51,6000,8.592406811658293e-05,1.0,0.0487741120159626,0.9885833263397217
0,PM,50,1,RC20,51,6000,8.592406811658293e-05,1.0,0.0487741120159626,0.9885833263397217
0,PM,50,1,RD20,51,6000,8.592406811658293e-05,1.0,0.0487741120159626,0.9885833263397217
1,PM,50,1,A,51,6000,9.418646368430927e-05,1.0,0.05124069005250931,0.989145815372467
1,PM,50,1,B20,51,6000,9.418646368430927e-05,1.0,0.05124069005250931,0.989145815372467
1,PM,50,1,C20,51,6000,9.418646368430927e-05,1.0,0.05124069005250931,0.989145815372467
1,PM,50,1,D20,51,6000,9.418646368430927e-05,1.0,0.05124069005250931,0.989145815372467
1,PM,50,1,C5,51,6000,9.418646368430927e-05,1.0,0.05124069005250931,0.989145815372467
1,PM,50,1,D5,51,6000,9.418646368430927e-05,1.0,0.05124069005250931,0.989145815372467
1,PM,50,1,C10,51,6000,9.418646368430927e-05,1.0,0.05124069005250931,0.989145815372467
1,PM,50,1,D10,51,6000,9.418646368430927e-05,1.0,0.05124069005250931,0.989145815372467
1,PM,50,1,RB20,51,6000,9.418646368430927e-05,1.0,0.05124069005250931,0.989145815372467
1,PM,50,1,RC20,51,6000,9.418646368430927e-05,1.0,0.05124069005250931,0.989145815372467
1,PM,50,1,RD20,51,6000,9.418646368430927e-05,1.0,0.05124069005250931,0.989145815372467
2,PM,50,1,A,51,6000,9.884675819193944e-05,1.0,0.06018981710076332,0.9865729212760925
2,PM,50,1,B20,51,6000,9.884675819193944e-05,1.0,0.06018981710076332,0.9865729212760925
2,PM,50,1,C20,51,6000,9.884675819193944e-05,1.0,0.06018981710076332,0.9865729212760925
2,PM,50,1,D20,51,6000,9.884675819193944e-05,1.0,0.06018981710076332,0.9865729212760925
2,PM,50,1,C5,51,6000,9.884675819193944e-05,1.0,0.06018981710076332,0.9865729212760925
2,PM,50,1,D5,51,6000,9.884675819193944e-05,1.0,0.06018981710076332,0.9865729212760925
2,PM,50,1,C10,51,6000,9.884675819193944e-05,1.0,0.06018981710076332,0.9865729212760925
2,PM,50,1,D10,51,6000,9.884675819193944e-05,1.0,0.06018981710076332,0.9865729212760925
2,PM,50,1,RB20,51,6000,9.884675819193944e-05,1.0,0.06018981710076332,0.9865729212760925
2,PM,50,1,RC20,51,6000,9.884675819193944e-05,1.0,0.06018981710076332,0.9865729212760925
2,PM,50,1,RD20,51,6000,9.884675819193944e-05,1.0,0.06018981710076332,0.9865729212760925
0,PM,50,1,A,52,0,13.56637191772461,0.08583333343267441,,
0,PM,50,1,B20,52,0,13.56637191772461,0.08583333343267441,,
0,PM,50,1,C20,52,0,13.56637191772461,0.08583333343267441,,
0,PM,50,1,D20,52,0,13.56637191772461,0.08583333343267441,,
0,PM,50,1,C5,52,0,13.56637191772461,0.08583333343267441,,
0,PM,50,1,D5,52,0,13.56637191772461,0.08583333343267441,,
0,PM,50,1,C10,52,0,13.56637191772461,0.08583333343267441,,
0,PM,50,1,D10,52,0,13.56637191772461,0.08583333343267441,,
0,PM,50,1,RB20,52,0,13.56637191772461,0.08583333343267441,,
0,PM,50,1,RC20,52,0,13.56637191772461,0.08583333343267441,,
0,PM,50,1,RD20,52,0,13.56637191772461,0.08583333343267441,,
1,PM,50,1,A,52,0,20.66779899597168,0.09916666895151138,,
1,PM,50,1,B20,52,0,20.66779899597168,0.09916666895151138,,
1,PM,50,1,C20,52,0,20.66779899597168,0.09916666895151138,,
1,PM,50,1,D20,52,0,20.66779899597168,0.09916666895151138,,
1,PM,50,1,C5,52,0,20.66779899597168,0.09916666895151138,,
1,PM,50,1,D5,52,0,20.66779899597168,0.09916666895151138,,
