arm,task,unit,m0,dm,cnorm0,fossil,zbar0,pos0,dep_task,align_task,dnorm2,cos_task,gpos,gneg,dm20,dm100,gpos20,gneg20,split_identity
R,21,88,-0.02558280566395575,-0.0003111074861501079,3.1038350650683513,0.8281115753593676,-2.874619466773287,0.001953125,0.08988345908487826,-0.049546695811647626,0.04033676327322766,-0.026622337068532943,0.0005596110034855814,0.0,3.5266121089154363e-12,3.89783443616969e-12,0.0,0.0,9.270362255620057e-15
R,21,89,-0.017814952996633687,-0.0058701044646874605,3.742728300854076,0.7269807374397997,-1.3756485585852074,0.06640625,0.08943183083828135,-0.04097167280527367,0.04846015803300219,-0.018302876032598777,0.021677436846732005,0.0,-0.003813612777757583,-0.004902541069617546,0.01676176566805144,0.0,9.270362255620057e-15
R,21,90,-0.02276074026594313,-0.0012158510065611553,3.1228684395259148,0.5170451549393554,-3.0091041576757114,0.0,0.06961520565743083,0.06043661546293466,0.13005182112036273,0.03667451639037364,0.00171358079881501,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,91,-0.03214324610068235,0.01674330969330635,3.48221355319565,1.2691991987203957,-3.735393045269401,0.0078125,2.8066359708363073,-0.24210891813017524,2.564527052706131,-0.02075068063442878,-0.020301080786683454,0.0,0.002172302864966362,0.015943571072985305,-0.0037006280157700243,0.0,9.270362255620057e-15
R,21,92,0.03272498714521097,-0.004789081537173654,3.9112984118219103,0.7961336896823398,4.418469993937227,1.0,1.3148975347389684,-0.9755669599161196,0.3393305748228439,-0.10875774155574676,0.05061225728066873,0.0,-0.003206999814618919,-0.0018738140424087448,-0.010188573748779925,0.0,9.270362255620057e-15
R,21,93,-0.02166059338073215,-0.0044581041093639485,3.453996625086531,0.7091756198002697,-2.2294698616040627,0.021484375,0.11134086568890776,-0.009812272585865282,0.10152859310304407,-0.004256870152356759,0.004686993379781909,0.0,-0.000808356375162067,-0.0031760743851399252,0.0010967861487274724,0.0,9.270362255620057e-15
R,21,94,-0.024874276362684862,0.011781849213258396,3.8516236862786375,0.9934473900631633,-1.5624722890667215,0.064453125,2.5726647621087433,-0.11876910534788221,2.4538956567608583,-0.00961253737887107,-0.03221316325150722,0.0,0.00595823593853218,0.015320446236895505,-0.024333447480923052,0.0,9.270362255620057e-15
R,21,95,-0.004795469361221078,0.005986086974820753,3.892255248490603,0.8317232073180041,-0.5070343196554402,0.333984375,1.6892596054332838,-0.7451133965415395,0.9441462088917429,-0.07364493184616035,-0.06769770617609656,0.0,0.008341812572065725,0.004743391750206669,-0.06320878514770502,0.0,9.270362255620057e-15
R,21,96,-0.01414577947612923,-0.0014121594007408522,3.503174814829271,0.7780947480961783,-1.6403270276530781,0.0390625,0.8155442636960928,-0.14535243240151827,0.6701918312945754,-0.022972419036240595,0.008356233671427713,0.0,0.0012617171255720787,0.0009414542497436245,0.006228241248595603,0.0,9.270362255620057e-15
R,21,97,-0.03178419561222005,-0.000910440565014734,3.5848048482674866,0.9551348863531007,-3.5256325577974073,0.001953125,0.009216500890062825,-0.004518671012872594,0.0046978298771946925,-0.006564961364318509,0.0025826799011225117,0.0,-8.454480106296129e-07,-0.0008918498196162171,0.0,0.0,9.270362255620057e-15
