run_id,ckpt,M,n_periods,noise_floor,snr_all,snr_W,snr_b,snr_v,snr_c
B_w5_K10000_c0.0_lr0.01_bfull_s1,10000,500000,50.0,0.001414213445968926,0.13204684853553772,0.060685787349939346,0.11859486252069473,0.1663161963224411,0.11616431921720505
B_w5_K10000_c0.0_lr0.01_bfull_s2,10000,500000,50.0,0.001414213445968926,0.1379590779542923,0.0612594410777092,0.15793247520923615,0.17271333932876587,0.07027856260538101
B_w5_K10000_c0.0_lr0.01_bfull_s3,10000,500000,50.0,0.001414213445968926,0.29191356897354126,0.1196955144405365,0.6018995642662048,0.37785202264785767,0.5460270643234253
B_w5_K10000_c0.0_lr0.01_bfull_s4,10000,500000,50.0,0.001414213445968926,0.30867576599121094,0.12374824285507202,0.6589512825012207,0.46258267760276794,0.9074534177780151
B_w5_K10000_c2.0_lr0.01_bfull_s0,10000,500000,50.0,0.001414213445968926,0.08461640030145645,0.07883915305137634,0.15319915115833282,0.08966086059808731,0.05440463870763779
B_w5_K10000_c2.0_lr0.01_bfull_s1,10000,500000,50.0,0.001414213445968926,0.12250491976737976,0.06096503511071205,0.10126303881406784,0.13633613288402557,0.077980637550354
B_w5_K10000_c2.0_lr0.01_bfull_s2,10000,500000,50.0,0.001414213445968926,0.1437900811433792,0.09516698122024536,0.17261476814746857,0.1979115605354309,0.048109788447618484
B_w5_K10000_c2.0_lr0.01_bfull_s3,10000,500000,50.0,0.001414213445968926,0.401077538728714,0.25091075897216797,0.5974254608154297,0.5260441899299622,0.7399309277534485
B_w5_K10000_c2.0_lr0.01_bfull_s4,10000,500000,50.0,0.001414213445968926,0.17260415852069855,0.11297145485877991,0.21573948860168457,0.23450034856796265,0.22205102443695068
B_w5_K10000_c0.0_lr0.01_bfull_s0,50000,500000,50.0,0.001414213445968926,0.17584587633609772,0.09280575066804886,0.24382281303405762,0.26509788632392883,0.16662423312664032
