arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
C,raw,2,2,0.0001,10,0,1,0.7993189103,1,1,1,0,0,-1.369852304,1.820591331,-7.455981255,0.202000007,19.623804,0.1700000018,0.1700000018,-1.656711578,1.361698985,-5.44909811,0.0120000001,6.087770962,1.116000652,0.6769735813,2.207743645
C,raw,2,2,0.0001,11,1,5,0.3823317308,0.6119999886,0.5640000105,0.6119999886,0,0,-0.0007448991528,2.547441006,-1.234097719,0.4879999757,34.55426898,0.04999999702,0.04999999702,-1.92863667,1.693755269,-4.316324711,0.05040000007,12.13964747,1.046086192,0.6778127551,2.403946161
C,raw,2,2,0.0001,12,0,1,0.8248798077,1,1,1,0,0,-0.2701573074,1.938658237,-4.029524803,0.3940000236,29.75571377,0.1899999976,0.1899999976,-1.52348268,1.512033224,-4.127888203,0.01800000109,7.316714545,1.097975016,0.6794679165,2.516639709
C,raw,2,2,0.0001,13,1,5,0.3262019231,0.5636000037,0.5240000486,0.5636000037,0,0,-0.2107518762,2.755193233,-4.340042114,0.4519999921,29.94370998,0.1400000006,0.1400000006,-2.787242174,2.090145826,-6.075975895,0.0167999994,8.145665361,1.114445329,0.6813720465,2.695674181
C,raw,2,2,0.0001,14,0,1,0.8389423077,1,1,1,0,0,-0.446038276,2.614965916,-3.740275383,0.4100000262,26.65927614,0.4099999964,0.4099999964,-2.817634821,1.829560876,-6.736217499,0.00400000019,5.07267875,1.164543629,0.6905304193,2.813097
C,raw,2,2,0.0001,15,1,5,0.3889823718,0.6015999913,0.5820000172,0.6015999913,0,0,-0.0009445800679,2.71753788,-1.480014563,0.4971999824,31.74028638,0.1799999923,0.1799999923,-2.511250019,1.757909894,-5.57388401,0.007199999876,8.483571337,1.099443436,0.6948208213,2.918448448
C,raw,2,2,0.0001,16,0,1,0.8302884615,1,1,1,0,0,-1.138450503,1.798413754,-4.885955334,0.1920000017,21.71878478,0.4699999988,0.4699999988,-2.543051004,1.579560757,-7.213848591,0.002000000095,4.423331277,1.084044933,0.7008416653,3.007959604
C,raw,2,2,0.0001,17,1,5,0.35625,0.554799974,0.5340000391,0.554799974,0,0,0.01293719467,2.419070959,-2.26601553,0.489599973,31.22008555,0.1999999881,0.1999999881,-2.599460363,1.875054717,-5.210017681,0.0083999997,8.527119286,1.161800504,0.7074475288,2.951599121
C,raw,2,2,0.0001,18,0,1,0.7943910256,1,1,1,0,0,-0.034188319,2.179199934,-2.978864431,0.4820000231,28.17837083,0.3899999857,0.3899999857,-2.548610926,2.026708126,-5.969112396,0.006000000052,5.134766057,1.130501986,0.7204188704,3.042073965
C,raw,2,2,0.0001,19,1,5,0.2837339744,0.5171999931,0.476000011,0.5171999931,0,0,0.04574045539,2.300264359,-1.356805444,0.513199985,31.4329107,0.3299999833,0.3299999833,-2.471214294,1.904564023,-5.305197716,0.0055999998,8.341559715,1.091977954,0.7255401015,3.139783144
C,raw,2,2,0.0001,20,0,1,0.8268028846,1,1,1,0,0,-0.228528142,1.355411291,-4.255753994,0.4040000141,22.30812275,0.4699999988,0.4699999988,-2.53538394,1.911638141,-7.477507114,0.002000000095,4.702816829,1.07912147,0.7321058512,3.194434166
C,raw,2,2,0.0001,21,1,5,0.3684294872,0.6211999655,0.5980000496,0.6211999655,0,0,-0.009759423323,3.11775279,-1.299722195,0.4899999797,29.19262472,0.3400000036,0.3400000036,-3.933405399,2.684796333,-6.95059824,0.001999999862,7.729640843,1.105173945,0.7461113334,3.306452274
C,raw,2,2,0.0001,22,0,1,0.810536859,1,0.9899999499,1,0,0,-0.5751590133,1.736990094,-11.4399271,0.2780000269,17.43375714,0.4899999797,0.4899999797,-3.904535294,2.349900246,-13.37411785,0.002000000095,4.709368595,1.088407397,0.7511585355,3.363647223
