arm,step,group,rank,seed,unit,ok,eps,rel_err_wu,rel_err_W_other,rel_err_b,rel_err_v,rel_err_c,lambda_x,dyhat1
LR_a0p7_q0,200000,pos,0,3,62,False,0.01,9.074012727293694e-15,1.0758550831294231e-13,1.0630298949133848e-11,0.0004641614854458681,1.1374598780742848e-12,4.8067080543236074e-05,-0.0006448102857651731
LR_a0p7_q0,200000,pos,0,4,62,False,0.01,0.005002186270540276,0.0050022826314975065,2.5981632908618066,0.01582831943619066,0.016885027471213645,1.3709974354133687e-05,0.0003456870022081489
LR_a0p7_q0,200000,pos,0,5,62,False,0.01,1.4546789663664375e-14,1.0940130128780477e-13,7.536071358734509e-13,0.004229946818305502,3.568734566656815e-13,0.008679349319627466,0.008715428183922123
LR_a0p7_q0,200000,pos,0,6,62,False,0.01,3.0592287665625544e-14,1.2877604983276437e-13,1.8409158487034498e-13,0.006331280477851264,5.58535256505848e-13,0.0797304041399235,0.026584085031762933
LR_a0p7_q0,200000,pos,0,7,62,False,0.01,1.7176202182524296e-14,1.1309054791836014e-13,7.725387696454374e-13,0.005791838642702985,2.6312011386870993e-12,0.005643480489019099,0.007144020610619993
LR_a0p7_q0,200000,pos,0,8,62,False,0.01,4.601162818740388e-15,1.0705400490959356e-13,3.63217769637886e-12,0.004515860162452631,5.2827357798948824e-14,0.00019282372213192073,0.0013179933876172193
LR_a0p7_q0,200000,pos,0,9,62,False,0.01,1.5099823161306483e-14,1.1044013910339077e-13,2.5328193094589683e-13,0.005555289112435508,1.1297508722802092e-13,0.0498793251019618,0.021041039414084906
LR_a0p7_q0,200000,pos,1,0,74,False,0.01,2.917874237734465e-14,1.2335127335352337e-13,5.698617487411202e-13,0.00413803591382183,7.897954218729432e-13,0.011042787209514252,0.009830701207788055
LR_a0p7_q0,200000,pos,1,1,74,False,0.01,1.428677379870711e-14,1.1289098388313989e-13,1.3227219244209699e-12,0.0029725810002710355,2.2474597754416224e-12,0.002132925900960358,0.0043510571696616564
LR_a0p7_q0,200000,pos,1,2,74,False,0.01,1.2544712367303429e-14,1.0274595872745253e-13,2.4666725051231906e-11,0.00036136581501627175,5.3398815064092596e-11,4.040996849756043e-06,0.0001910403066305427
LR_a0p7_q0,200000,pos,1,3,74,False,0.01,1.7048012094196264e-14,1.1539420056358212e-13,4.312066121758391e-13,0.003969249116859559,5.5521590415079566e-15,0.021601139541516958,-0.013669304410518576
LR_a0p7_q0,200000,pos,1,4,74,False,0.01,9.496966223195426e-15,1.0865897235015016e-13,7.204862177156491e-12,0.0021864998163159287,1.6197106005420215e-12,8.508990057043024e-05,0.0008611994371535218
LR_a0p7_q0,200000,pos,1,5,74,False,0.01,9.031886333594347e-15,1.069986805297565e-13,2.271536344773323e-12,0.0029133209692570965,2.824795984296801e-12,0.0009233991418028444,-0.002842757918727604
LR_a0p7_q0,200000,pos,1,6,74,False,0.01,1.5670217779692902e-14,1.1771266638720438e-13,5.809118974447841e-13,0.00450212599893902,6.999132035387999e-13,0.007956307773919273,0.008397799895571205
LR_a0p7_q0,200000,pos,1,7,74,False,0.01,9.424682145710318e-15,1.0473527397263407e-13,2.8020222077311853e-12,0.003992890762127527,1.5426394205083217e-11,0.0005953323553277472,0.0023203255811041316
LR_a0p7_q0,200000,pos,1,8,74,False,0.01,2.011496440084498e-14,1.1189685020624069e-13,4.697382119963317e-13,0.0056654413880995015,8.842157636138075e-13,0.007925634676365393,-0.008449869962286726
LR_a0p7_q0,200000,pos,1,9,74,False,0.01,0.09979774855385004,0.09981109126945141,5.752533798127373,0.13944189033633864,0.13717222607723314,0.0006142105305584408,-0.002334885212388683
