step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,sign_match_mean,sign_clone_frac,eval_loss,w_D_all,w_D_alive,n_alive,w_paircos_all,w_paircos_alive,w_rnorm_mean,w_rnorm_alive
0,B_w100_K10000_c-0.5_lr0.01_s0_nfix,0,0,0,70.3938,27.0186,0.501558,0.00020202,3.37491,0.985555,0.985555,100,0.00449004,0.00449004,1.41177,1.41177
0,B_w100_K10000_c-0.5_lr0.01_s1_nfix,0,0,0,70.4688,26.4991,0.500731,0,0.744326,0.988237,0.988237,100,0.00178112,0.00178112,1.41703,1.41703
0,B_w100_K10000_c-0.5_lr0.01_s2_nfix,0,0,0,70.4173,26.5272,0.500933,0,1.85271,0.987371,0.987371,100,0.00265513,0.00265513,1.40686,1.40686
0,B_w100_K10000_c-0.5_lr0.01_s3_nfix,0,0,0,69.8013,26.2408,0.503175,0,1.25787,0.988996,0.988996,100,0.00101444,0.00101444,1.40223,1.40223
0,B_w100_K10000_c-0.5_lr0.01_s4_nfix,0,0,0,71.0909,27.4707,0.499375,0,2.6516,0.98947,0.98947,100,0.000535261,0.000535261,1.40555,1.40555
0,B_w100_K10000_c-0.5_lr0.01_s5_nfix,0,0,0,70.6729,28.1415,0.498942,0,2.22832,0.992281,0.992281,100,-0.00230413,-0.00230413,1.42962,1.42962
0,B_w100_K10000_c-0.5_lr0.01_s6_nfix,0,0,0,70.851,27.1422,0.4995,0,1.43186,0.992304,0.992304,100,-0.00232701,-0.00232701,1.40514,1.40514
0,B_w100_K10000_c-0.5_lr0.01_s7_nfix,0,0,0,70.3586,26.1956,0.498778,0,6.32531,0.991982,0.991982,100,-0.00200157,-0.00200157,1.39159,1.39159
0,B_w100_K10000_c-0.5_lr0.01_s8_nfix,0,0,0,70.5561,26.4433,0.501135,0,1.3994,0.985606,0.985606,100,0.00443795,0.00443795,1.43081,1.43081
0,B_w100_K10000_c-0.5_lr0.01_s9_nfix,0,0,0,70.5695,27.3845,0.498038,0,1.46132,0.991737,0.991737,100,-0.00175447,-0.00175447,1.4191,1.4191
0,B_w100_K10000_c-0.5_lr0.01_s10_nfix,0,0,0,69.9353,26.1787,0.500366,0.00020202,3.21197,0.990508,0.990508,100,-0.000513582,-0.000513582,1.41627,1.41627
0,B_w100_K10000_c-0.5_lr0.01_s11_nfix,0,0,0,70.9085,27.4683,0.497557,0,1.90251,0.992941,0.992941,100,-0.00297062,-0.00297062,1.40382,1.40382
0,B_w100_K10000_c-0.25_lr0.01_s0,0,0,0,70.7716,27.0557,0.499298,0,1.41252,0.989311,0.989311,100,0.000696352,0.000696351,1.37935,1.37935
0,B_w100_K10000_c-0.25_lr0.01_s1,0,0,0,70.2251,26.4319,0.500856,0,2.11863,0.991865,0.991865,100,-0.00188407,-0.00188407,1.42479,1.42479
0,B_w100_K10000_c-0.25_lr0.01_s2,0,0,0,70.2974,26.8254,0.498672,0,2.52923,0.995536,0.995536,100,-0.00559202,-0.00559202,1.42251,1.42251
