population,k,band,band_left,band_right,band_center,n_pair,n_seed,seed_ids,guard_main,guard_descriptive,F,D,H,F_path
A,5,-18,-1.8,-1.7,-1.75,1425,10,"0,1,2,3,4,5,6,7,8,9",True,True,-3.009191375448753e-05,-4.524504878882067e-05,-1.5153135034333139e-05,-2.4452404936665426e-05
A,5,-17,-1.7,-1.6,-1.65,1986,9,"0,1,2,4,5,6,7,8,9",True,True,-1.2392420130950097e-05,-2.0796027479229313e-05,-8.403607348279215e-06,-1.1706660953919586e-05
A,5,-16,-1.6,-1.5,-1.55,3477,10,"0,1,2,3,4,5,6,7,8,9",True,True,3.5004563817403647e-06,3.940008222899992e-05,3.5899625847259545e-05,2.3865370957725588e-06
A,5,-15,-1.5,-1.4,-1.45,4620,10,"0,1,2,3,4,5,6,7,8,9",True,True,0.0001208615452106931,1.11485068183481e-05,-0.00010971303839234503,0.00011843513101397918
A,5,-14,-1.4,-1.3,-1.35,6339,10,"0,1,2,3,4,5,6,7,8,9",True,True,0.00023628739162131405,0.00020548371284325964,-3.080367877805435e-05,0.00017578115428951963
A,5,-13,-1.3,-1.2,-1.25,9537,10,"0,1,2,3,4,5,6,7,8,9",True,True,-3.655281236123269e-05,-3.1461139311150915e-05,5.091673050081736e-06,-3.5107922153649944e-05
A,5,-12,-1.2,-1.1,-1.15,11971,10,"0,1,2,3,4,5,6,7,8,9",True,True,2.9767979968054995e-05,3.4910708673427276e-05,5.142728705372261e-06,2.743103197700389e-05
A,5,-11,-1.1,-1.0,-1.05,14924,10,"0,1,2,3,4,5,6,7,8,9",True,True,-2.3450543284354293e-05,-2.120606122321536e-05,2.2444820611388604e-06,-8.855167334909822e-06
A,5,-10,-1.0,-0.9,-0.95,20427,10,"0,1,2,3,4,5,6,7,8,9",True,True,2.9979212182492197e-05,2.4283657831213985e-05,-5.695554351278279e-06,1.9379563170526583e-05
A,5,-9,-0.9,-0.8,-0.85,22380,10,"0,1,2,3,4,5,6,7,8,9",True,True,4.7340543619557685e-05,5.83306065152719e-05,1.0990062895714187e-05,4.585020683087411e-05
A,5,-8,-0.8,-0.7,-0.75,31697,10,"0,1,2,3,4,5,6,7,8,9",True,True,3.7045270383822864e-05,5.3270699904580896e-05,1.622542952075795e-05,2.0371632002155164e-05
A,5,-7,-0.7,-0.6,-0.65,41060,10,"0,1,2,3,4,5,6,7,8,9",True,True,5.4295159858060235e-05,3.6540533989275905e-05,-1.7754625868784143e-05,4.513553261478849e-05
A,5,-6,-0.6,-0.5,-0.55,49120,10,"0,1,2,3,4,5,6,7,8,9",True,True,6.968437163472615e-05,5.802654723785566e-05,-1.1657824396870536e-05,6.193318253323746e-05
A,5,-5,-0.5,-0.4,-0.45,67192,10,"0,1,2,3,4,5,6,7,8,9",True,True,0.0001300782785076289,7.841570698253958e-05,-5.166257152508949e-05,9.662237291455922e-05
A,5,-4,-0.4,-0.3,-0.35,88814,10,"0,1,2,3,4,5,6,7,8,9",True,True,7.027732974713845e-05,4.986350211118874e-05,-2.0413827635949743e-05,4.893920597507773e-05
A,5,-3,-0.3,-0.2,-0.25,126282,10,"0,1,2,3,4,5,6,7,8,9",True,True,-7.0545311548030195e-06,-9.443752039699289e-06,-2.389220884896238e-06,-2.9663044121854115e-06
A,5,-2,-0.2,-0.1,-0.15,157123,10,"0,1,2,3,4,5,6,7,8,9",True,True,-1.2597004418694163e-05,-1.6900273943204398e-05,-4.303269524510232e-06,-1.1060124685942737e-05
A,5,-1,-0.1,0.0,-0.05,149967,10,"0,1,2,3,4,5,6,7,8,9",True,True,4.38502552316569e-06,-5.317995759069734e-06,-9.703021282235428e-06,3.1564079413211723e-06
A,5,0,0.0,0.1,0.05,120306,10,"0,1,2,3,4,5,6,7,8,9",True,True,3.746471912328134e-06,3.4855468846804734e-06,-2.609250276476637e-07,1.4935915539264882e-06
A,5,1,0.1,0.2,0.15,80087,10,"0,1,2,3,4,5,6,7,8,9",True,True,-2.0818896307722517e-05,-3.881524252498251e-05,-1.7996346217260053e-05,-1.9165373457941076e-05
A,5,2,0.2,0.3,0.25,39741,10,"0,1,2,3,4,5,6,7,8,9",True,True,-4.3897713994486205e-05,1.3185192766369493e-05,5.708290676085566e-05,-7.19461817441039e-05
A,5,3,0.3,0.4,0.35,18550,10,"0,1,2,3,4,5,6,7,8,9",True,True,-0.00020847780469868273,-7.616063429334265e-05,0.00013231717040534008,-0.00014019328671212365
A,5,4,0.4,0.5,0.45,12311,10,"0,1,2,3,4,5,6,7,8,9",True,True,-0.0005687404272760982,-0.00025821091948696994,0.00031052950778912806,-0.00045645055255598047
A,5,5,0.5,0.6,0.55,6266,10,"0,1,2,3,4,5,6,7,8,9",True,True,-0.0006933828605674783,-0.0005213416074670472,0.0001720412531004311,-0.0003418196912762535
A,5,6,0.6,0.7,0.65,3346,10,"0,1,2,3,4,5,6,7,8,9",True,True,0.00022506027559456723,-0.0002646914939790315,-0.0004897517695735983,0.00013964585882405986
A,5,7,0.7,0.8,0.75,1663,10,"0,1,2,3,4,5,6,7,8,9",True,True,-0.0015119286799073458,-0.0008298575622657239,0.0006820711176416218,-0.0009727530827768635
A,5,8,0.8,0.9,0.85,1108,10,"0,1,2,3,4,5,6,7,8,9",True,True,-0.003226335732929661,-0.001302916408451224,0.0019234193244784374,-0.0007052689522641197
A,5,9,0.9,1.0,0.95,754,5,"1,4,6,7,8",False,False,-0.006320425786383252,-0.002946378713737354,0.0033740470726458987,-0.0028809216384414367
A,5,10,1.0,1.1,1.05,383,4,"0,1,7,8",False,False,-0.0009865457077454234,-0.0006251129243095852,0.0003614327834358383,-0.0005794644025665413
A,5,11,1.1,1.2,1.15,180,2,"1,8",False,False,-0.0033427173630274946,-0.0009082127508362639,0.0024345046121912297,-0.00241413370591685
A,5,12,1.2,1.3,1.25,121,2,"1,8",False,False,-0.0001788868699445803,-5.905359961400304e-05,0.0001198332703305772,5.377621844625621e-05
A,10,-24,-2.4,-2.3,-2.35,60,1,9,False,False,0.00036682995476742993,-0.0002516804018933765,-0.0006185103566608059,0.0003156843574318677
A,10,-23,-2.3,-2.2,-2.25,60,1,0,False,False,-1.2608139744922179e-05,-5.5669463760921204e-05,-4.306132401599904e-05,-8.300806460207847e-06
A,10,-22,-2.2,-2.1,-2.15,60,1,8,False,False,-7.030252436379669e-06,-4.8518529354169004e-06,2.1783995009627686e-06,-6.233229121335169e-06
A,10,-21,-2.1,-2.0,-2.05,502,3,"5,8,9",False,False,1.3900433731260628e-05,2.0587133125957413e-05,6.6866993946967684e-06,2.6611040044114146e-05
A,10,-20,-2.0,-1.9,-1.95,638,6,"2,3,4,5,8,9",False,True,8.566496277611976e-06,3.838972644947475e-05,2.9823230171862773e-05,-3.013232436517789e-06
A,10,-19,-1.9,-1.8,-1.85,523,3,"4,5,9",False,False,0.00016236489208010837,0.00035659361906128015,0.00019422872698117175,5.4965823176532696e-05
A,10,-18,-1.8,-1.7,-1.75,1425,10,"0,1,2,3,4,5,6,7,8,9",True,True,-3.009191375448753e-05,-4.562526587875093e-05,-1.553335212426339e-05,-1.4494478058864105e-05
A,10,-17,-1.7,-1.6,-1.65,1986,9,"0,1,2,4,5,6,7,8,9",True,True,-1.2392420130950097e-05,-2.051816443469347e-05,-8.125744303743389e-06,-1.2773152387974948e-05
A,10,-16,-1.6,-1.5,-1.55,3477,10,"0,1,2,3,4,5,6,7,8,9",True,True,3.5004563817403647e-06,3.905342218007295e-05,3.5552965798332586e-05,-1.414411285491129e-06
A,10,-15,-1.5,-1.4,-1.45,4620,10,"0,1,2,3,4,5,6,7,8,9",True,True,0.0001208615452106931,8.565823448029454e-06,-0.00011229572176266341,0.000113209473971621
A,10,-14,-1.4,-1.3,-1.35,6339,10,"0,1,2,3,4,5,6,7,8,9",True,True,0.00023628739162131405,0.00014863926601568582,-8.764812560562831e-05,0.0001046544428842667
A,10,-13,-1.3,-1.2,-1.25,9537,10,"0,1,2,3,4,5,6,7,8,9",True,True,-3.655281236123269e-05,-3.334047728125311e-05,3.2123350799797275e-06,-2.772979673680133e-05
A,10,-12,-1.2,-1.1,-1.15,11971,10,"0,1,2,3,4,5,6,7,8,9",True,True,2.9767979968054995e-05,4.2260900924420175e-05,1.2492920956365183e-05,2.434008995672839e-05
A,10,-11,-1.1,-1.0,-1.05,14924,10,"0,1,2,3,4,5,6,7,8,9",True,True,-2.3450543284354293e-05,-3.211689827417526e-06,2.0238853456936736e-05,7.687868769216607e-06
A,10,-10,-1.0,-0.9,-0.95,20427,10,"0,1,2,3,4,5,6,7,8,9",True,True,2.9979212182492197e-05,1.1753909483289745e-05,-1.8225302699202444e-05,1.4082057591809197e-05
A,10,-9,-0.9,-0.8,-0.85,22380,10,"0,1,2,3,4,5,6,7,8,9",True,True,4.7340543619557685e-05,6.33826424610866e-05,1.604209884152898e-05,3.992602896677794e-05
A,10,-8,-0.8,-0.7,-0.75,31697,10,"0,1,2,3,4,5,6,7,8,9",True,True,3.7045270383822864e-05,4.0455423122153625e-05,3.4101527383306565e-06,4.79911712107498e-06
A,10,-7,-0.7,-0.6,-0.65,41060,10,"0,1,2,3,4,5,6,7,8,9",True,True,5.4295159858060235e-05,2.3564582517225093e-05,-3.0730577340835206e-05,4.646039453072715e-05
A,10,-6,-0.6,-0.5,-0.55,49120,10,"0,1,2,3,4,5,6,7,8,9",True,True,6.968437163472615e-05,4.931416845124771e-05,-2.0370203183478533e-05,5.409271817413664e-05
A,10,-5,-0.5,-0.4,-0.45,67192,10,"0,1,2,3,4,5,6,7,8,9",True,True,0.0001300782785076289,6.3785492472601e-05,-6.629278603502778e-05,7.894098531591648e-05
A,10,-4,-0.4,-0.3,-0.35,88814,10,"0,1,2,3,4,5,6,7,8,9",True,True,7.027732974713845e-05,4.1271779236559215e-05,-2.900555051057921e-05,3.409679519956873e-05
A,10,-3,-0.3,-0.2,-0.25,126282,10,"0,1,2,3,4,5,6,7,8,9",True,True,-7.0545311548030195e-06,-6.5613305691921575e-06,4.932005856108417e-07,-1.9014472606527063e-06
A,10,-2,-0.2,-0.1,-0.15,157123,10,"0,1,2,3,4,5,6,7,8,9",True,True,-1.2597004418694163e-05,-2.1271731026481777e-05,-8.674726607787552e-06,-5.564720294593697e-06
A,10,-1,-0.1,0.0,-0.05,149967,10,"0,1,2,3,4,5,6,7,8,9",True,True,4.38502552316569e-06,-4.930887593268108e-06,-9.315913116433802e-06,2.523943145942815e-06
A,10,0,0.0,0.1,0.05,120306,10,"0,1,2,3,4,5,6,7,8,9",True,True,3.746471912328134e-06,1.3303571570804945e-06,-2.4161147552476833e-06,3.319524488315002e-07
A,10,1,0.1,0.2,0.15,80087,10,"0,1,2,3,4,5,6,7,8,9",True,True,-2.0818896307722517e-05,-3.1587818196457236e-05,-1.076892188873473e-05,-1.410020010642207e-05
A,10,2,0.2,0.3,0.25,39741,10,"0,1,2,3,4,5,6,7,8,9",True,True,-4.3897713994486205e-05,-1.765669073666711e-05,2.62410232578191e-05,-6.138241225935848e-05
