exp,width,batch,c,run_id,metric,t50
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s1,srank_drop,
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s1,srank_alive_drop,
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s1,post_err,210000.0
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s1,trC,
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s1,dead,
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s2,srank_drop,
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s2,srank_alive_drop,
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s2,post_err,60000.0
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s2,trC,
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s2,dead,
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s3,srank_drop,
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s3,srank_alive_drop,
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s3,post_err,310000.0
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s3,trC,760300.0
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s3,dead,
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s4,srank_drop,
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s4,srank_alive_drop,
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s4,post_err,350000.0
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s4,trC,920300.0
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s4,dead,
