step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss
10700,A_w10_T10000_std_lr0.01_bfull_s3,0.3,0,0.3,4.53373,3.17,0.194189,0.475556,0,0.047709,64.888,0.000735251,8.86372,0.314229,3.18239,2.78814,0.3,0.331796
10700,A_w10_T10000_std_lr0.01_bfull_s4,0.3,0,0.3,3.52731,2.06931,0.213983,0.481111,0,1.64635,159.838,0.0103001,8.94311,0.330092,3.02945,2.451,0.3,0.45063
10800,A_w10_T10000_std_lr0.01_bfull_s0,0.3,0,0.3,4.12302,2.42769,0.231681,0.467778,0,5.19911,91.4044,0.0568802,8.60921,0.369002,2.71002,2.21566,0.3,0.278038
10800,A_w10_T10000_std_lr0.01_bfull_s1,0.2,0.0444444,0.2,4.00726,3.50962,0.175009,0.476667,0,0.0291873,51.7101,0.000564441,9.0669,0.280205,3.56881,3.07323,0.2,0.468564
10800,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0.0222222,0.2,4.05624,3.50401,0.149987,0.5,0,0.276229,146.717,0.00188273,9.37513,0.222656,4.49122,3.90054,0.2,0.479021
10800,A_w10_T10000_std_lr0.01_bfull_s3,0.3,0,0.3,4.59859,3.20376,0.196723,0.475556,0,0.052158,63.6021,0.000820068,8.85684,0.31689,3.15567,2.76688,0.3,0.320548
10800,A_w10_T10000_std_lr0.01_bfull_s4,0.3,0,0.3,3.54291,2.0831,0.213836,0.488889,0,1.99228,160.769,0.0123922,8.93071,0.33094,3.0217,2.44859,0.3,0.440875
10900,A_w10_T10000_std_lr0.01_bfull_s0,0.3,0,0.3,4.12594,2.42224,0.232157,0.467778,0,5.73114,91.1682,0.0628634,8.60329,0.370929,2.69593,2.20664,0.3,0.273687
10900,A_w10_T10000_std_lr0.01_bfull_s1,0.2,0.0444444,0.2,4.02789,3.52213,0.174614,0.476667,0,0.0262426,49.7421,0.000527573,9.06475,0.279692,3.57536,3.07737,0.2,0.452295
10900,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0.0222222,0.2,4.06182,3.51156,0.150247,0.5,0,0.273031,148.333,0.00184066,9.37224,0.222214,4.50017,3.90799,0.2,0.474989
10900,A_w10_T10000_std_lr0.01_bfull_s3,0.3,0,0.3,4.64826,3.23308,0.198782,0.475556,0,0.0428558,62.1585,0.000689461,8.85061,0.319147,3.13335,2.74911,0.3,0.311972
10900,A_w10_T10000_std_lr0.01_bfull_s4,0.3,0,0.3,3.56512,2.09785,0.2139,0.488889,0,2.24989,168.923,0.0133191,8.91899,0.331783,3.01402,2.44656,0.3,0.432435
11000,A_w10_T10000_std_lr0.01_bfull_s0,0.3,0,0.3,4.12802,2.422,0.23248,0.467778,0,5.51128,84.9176,0.0649014,8.59767,0.372521,2.68442,2.19952,0.3,0.2755
11000,A_w10_T10000_std_lr0.01_bfull_s1,0.2,0.0444444,0.2,4.03577,3.53122,0.175294,0.476667,0,0.147123,50.3041,0.00292467,9.05723,0.281637,3.55067,3.05697,0.2,0.446724
11000,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0.0222222,0.2,4.06865,3.52553,0.150324,0.5,0,0.355241,167.179,0.00212491,9.36963,0.221685,4.5109,3.91725,0.2,0.471858
11000,A_w10_T10000_std_lr0.01_bfull_s3,0.3,0,0.3,4.69199,3.26152,0.200439,0.475556,0,0.0743475,60.8688,0.00122144,8.84535,0.321005,3.11522,2.73494,0.3,0.304636
11000,A_w10_T10000_std_lr0.01_bfull_s4,0.3,0,0.3,3.58315,2.11326,0.214313,0.488889,0,3.97728,163.388,0.0243425,8.90741,0.332631,3.00634,2.44475,0.3,0.426926
11100,A_w10_T10000_std_lr0.01_bfull_s0,0.3,0,0.3,4.12822,2.4202,0.232796,0.464444,0,6.5974,86.3211,0.0764286,8.59187,0.37401,2.67373,2.19301,0.3,0.277331
11100,A_w10_T10000_std_lr0.01_bfull_s1,0.2,0.0444444,0.2,4.05035,3.53859,0.176196,0.476667,0,0.143223,50.4891,0.00283672,9.04785,0.284124,3.51959,3.03183,0.2,0.442426
11100,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0.0222222,0.2,4.07092,3.52982,0.150517,0.5,0,0.382656,167.401,0.00228586,9.36716,0.221181,4.52118,3.92656,0.2,0.468401
11100,A_w10_T10000_std_lr0.01_bfull_s3,0.3,0,0.3,4.72063,3.27892,0.20164,0.475556,0,0.0795996,58.2157,0.00136732,8.84348,0.320213,3.12292,2.74784,0.3,0.292045
11100,A_w10_T10000_std_lr0.01_bfull_s4,0.3,0,0.3,3.6129,2.1304,0.214705,0.488889,0,3.26778,163.368,0.0200026,8.89697,0.33342,2.99922,2.44332,0.3,0.415121
11200,A_w10_T10000_std_lr0.01_bfull_s0,0.3,0,0.3,4.13271,2.41469,0.233173,0.464444,0,3.03063,85.293,0.035532,8.58586,0.375449,2.66348,2.18689,0.3,0.264001
11200,A_w10_T10000_std_lr0.01_bfull_s1,0.2,0.0444444,0.2,4.06752,3.55152,0.177108,0.476667,0,0.111665,44.5004,0.00250931,9.03901,0.286469,3.49078,3.00881,0.2,0.438115
11200,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0.0222222,0.2,4.06541,3.52392,0.150861,0.5,0,0.393348,145.252,0.00270803,9.36474,0.220677,4.5315,3.93659,0.2,0.463397
11200,A_w10_T10000_std_lr0.01_bfull_s3,0.3,0,0.3,4.75323,3.30487,0.202664,0.475556,0,0.15993,52.1498,0.00306675,8.84099,0.319832,3.12665,2.75651,0.3,0.283103
11200,A_w10_T10000_std_lr0.01_bfull_s4,0.3,0,0.3,3.63578,2.14725,0.214999,0.488889,0,3.53181,165.075,0.0213953,8.8868,0.334024,2.99379,2.44323,0.3,0.406565
11300,A_w10_T10000_std_lr0.01_bfull_s0,0.3,0,0.3,4.14,2.41225,0.233612,0.464444,0,5.10815,85.3975,0.0598161,8.57862,0.376503,2.65602,2.18301,0.3,0.268351
