registered,arm,seed,unit,t_sub,win_len,d_wmu,d_b,share_unit,routes_same_sign,share_in_unit_interval,d_wmu_ff,d_b_ff,n_ff_intervals,share_unit_ff,pred,pred_meanrecip,pred_ff
0,E_a0p001_1216,1,18,41000,41,-1.7849865685250457,-0.260932580440544,0.12753807039367646,1,1,-0.599092428451892,-0.09357507404597598,37,0.1350937841150762,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,19,281000,281,-5.641169312191693,-1.6385544145489348,0.2250846977241772,1,1,-4.989018583281371,-0.9983976050076819,253,0.16674932451839147,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,20,11000,11,-0.5720547267265701,-0.038464626077547415,0.0630031233258688,1,1,-0.068799716925664,-0.0384390979609619,10,0.3584438899441415,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,21,21000,21,-1.596078290928375,-0.14991907109783398,0.08586443161853045,1,1,-0.6668694985419972,-0.049777967907514764,19,0.06945949052765073,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,22,21000,21,-1.0588748773578365,-0.00896268228845254,0.008393301216545841,1,1,-0.0074432996588802425,-0.0041866954726913486,19,0.3599911629649659,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,23,12000,12,-1.2903474904466776,-0.10903093595315383,0.07791383223882961,1,1,-0.7178342879916073,-0.07439519681798679,11,0.09390611968433246,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,24,31000,31,-1.262414471491283,-0.06819837177830479,0.05125335451499735,1,1,-0.47527163006827067,-0.019104400479066586,28,0.03864346023798035,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,25,91000,91,-2.3222327216591623,-0.3164995414151903,0.11994378734219925,1,1,-1.0878902432630007,-0.10866200684940175,82,0.09081258828370779,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,26,31000,31,-0.9237332100492779,-0.1273876755701071,0.12119222185851865,1,1,-0.3398661710434876,-0.07470370301995866,28,0.1801956864056309,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,28,41000,41,-1.5123623862875504,-0.2399841428859517,0.13695016304745428,1,1,-0.2501416798954154,-0.12789535902964344,37,0.33831436039524454,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,29,141000,141,-2.247903868069752,-0.28027524414731175,0.11086051727621739,1,1,-0.19887475522052944,-0.0446281382881315,127,0.18327559744806138,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,32,101000,101,-2.212961655594432,0.06777132515782913,-0.03159222013835755,0,0,-0.2951731690352819,0.15134003100934867,91,-1.0521916790973576,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,33,41000,41,-2.2922226846620077,-0.13571404727163383,0.05589686316230709,1,1,-0.7363089352862295,-0.06036797736523303,37,0.0757747292617269,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,34,11000,11,-0.35981946982908397,0.02041264397171627,-0.06014211387809413,0,0,0.20895085837434202,0.020401465476535208,10,0.0889525125971693,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,37,91000,91,-1.6521480144125569,-0.1349169511158408,0.0754963886139129,1,1,-0.5448635655981415,-0.08864716154206542,82,0.13993000867126007,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,38,51000,51,-1.9824032437051216,-0.2605817531229704,0.11617632462609916,1,1,-1.1574161198754644,-0.14650394478814732,46,0.11235653837871015,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,39,31000,31,-2.1857310370765433,-0.2646512763691504,0.1080040754934284,1,1,-1.3114154333160553,-0.17302676425006336,28,0.1165601224040632,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,40,151000,151,-2.3831276788494726,-0.405339439577066,0.1453628184813557,1,1,1.0199070859324793,0.013343989504007933,136,0.012914566286196113,0.09758305318051957,0.09758305318051957,0.09758305318051957
