arm,iv,bin,window,mean_median,mean_min,mean_max,mean_n_down,star_median,star_min,star_max,star_n_down,star_W_median,star_W_min,star_W_max,star_W_n_down,bias_median,bias_min,bias_max,bias_n_down
LR,none,7-11,100-625,-0.06519749688318828,-0.06835752399175428,-0.041659919209826056,3,-0.06137771087749191,-0.0637649031215209,-0.0585164139744204,3,-0.061522950632217424,-0.06455732835574084,-0.05938334825153757,3,0.0007924252342199914,0.00014523975472548068,0.0008669342771172519,0
LR,none,7-11,20-100,0.032083895871453286,0.016662168250386133,0.055725748285291796,0,0.022007420337586646,0.016953712328929883,0.03069145414833192,0,0.020897146666890465,0.015104749702626296,0.02819584578939689,0,0.0018489626263035464,0.0011102736706961876,0.0024956083589349866,0
SNA,l2,12-20,0-100,-0.13700988186837493,-0.16409603275858176,-0.13286856133238303,3,-0.03747294028320926,-0.04571504294067505,-0.026601320642037483,3,-0.03793758246554295,-0.045588327738138944,-0.026253892993993208,3,-0.00012671520253611118,-0.0003474276480442823,0.00046464218233369255,2
SNA,l2,12-20,0-20,-0.20237534954971015,-0.2112405569955678,-0.20208859850845506,3,-0.07014291623265016,-0.07309250034747843,-0.06061384023546398,3,-0.06919945641796416,-0.07188753763750806,-0.0592997045680633,3,-0.0012049627099703583,-0.0013141356674006804,-0.0009434598146860172,3
SNA,l2,12-20,0-625,-0.1047496839120755,-0.1119295015767431,-0.08148837071277665,3,-0.0024431194363227185,-0.00646303699139247,0.0008996705541169011,2,-0.002374238826917908,-0.007141317577277724,-0.0002883873993037609,3,0.0006782805858852549,-6.888060940481321e-05,0.0011880579534206642,1
SNA,l2,12-20,100-625,0.05138019061960638,0.03226019795629943,0.05216653118183862,0,0.03837261083732616,0.024158201205714765,0.039252005949282576,0,0.03764919506623919,0.023879654167075298,0.03844701016086122,0,0.0007234157710869717,0.0002785470386394691,0.0008049957884213661,0
SNA,l2,12-20,20-100,0.0653654676813352,0.04714452423698604,0.06922003717607203,0,0.0326699759494409,0.027377457406803377,0.034012519593426487,0,0.03126187395242119,0.02629920989936912,0.0330458115740701,0,0.0010782475074342472,0.0009667080193563981,0.0014081019970197098,0
SNA,l2,2-6,0-100,-0.11697524655445848,-0.13823945495784712,-0.0811592513020161,3,-0.04017870113823283,-0.05755117798546468,-0.03514600316245676,3,-0.04059236426720581,-0.056677377995533386,-0.0351579008132078,3,1.18976507510523e-05,-0.000873799989931286,0.00041366312897298495,1
SNA,l2,2-6,0-20,-0.25541030268553927,-0.2689721334852482,-0.20292727393496154,3,-0.09075819243675362,-0.10407757321524484,-0.08096923972309823,3,-0.08919043196944261,-0.10202097209255379,-0.07979713084573531,3,-0.001567760467311018,-0.002056601122691063,-0.001172108877362916,3
SNA,l2,2-6,0-625,-0.10892880008607979,-0.12101332877187501,-0.10266223897010907,3,-0.03986204956290295,-0.04471592027548604,-0.03831025770898082,3,-0.042247935563546904,-0.045415934980353546,-0.04020179051341943,3,0.0018915328044386114,0.0007000147048674989,0.0023858860006439496,0
