task,step,mean,star,star_W,bias,within,between,pre_switch_mean,arm,iv,seed
36,625,-0.8804687892846019,-0.7813408920443585,-0.81504013695358,0.033699244909221306,2.0042043816748203,0.9282629036197322,-0.8179967403411865,SNA,none,0
37,0,-0.9159721664225858,-0.7813408920443585,-0.81504013695358,0.033699244909221306,1.1026947819280166,0.6712159179977946,-0.8804688453674316,SNA,none,0
37,20,-1.106821052105502,-0.85450406593174,-0.8878052305379768,0.033301164606236854,1.298664344587802,0.978940068033083,-0.8804688453674316,SNA,none,0
37,300,-0.9385208696363375,-0.7819850677160773,-0.8177000547377155,0.035714987021638084,1.7634925244696742,0.7608553562258096,-0.8804688453674316,SNA,none,0
37,625,-0.8687000748165684,-0.7730413342565169,-0.8091032201431096,0.03606188588659279,1.928208696025134,0.787228880649366,-0.8804688453674316,SNA,none,0
38,0,-0.835570029051413,-0.7730413342565169,-0.8091032201431096,0.03606188588659279,1.1862269223925603,0.9186782133055317,-0.8687002062797546,SNA,none,0
38,20,-0.9930400679382467,-0.8337771389796369,-0.8699118843232252,0.03613474534358829,1.3397522648907954,0.9520058130941778,-0.8687002062797546,SNA,none,0
38,300,-1.0088419938330737,-0.8186667210383421,-0.856302731759086,0.037636010720743795,1.897400161898233,0.8317219297139902,-0.8687002062797546,SNA,none,0
38,625,-0.9931625002817444,-0.8167000862738324,-0.855635625943306,0.038935539669473655,2.1525774531788673,0.8423263591778499,-0.8687002062797546,SNA,none,0
39,0,-0.8432209913829037,-0.8167000862738324,-0.855635625943306,0.038935539669473655,1.1592524040759424,1.0641978202471254,-0.9931624531745911,SNA,none,0
39,20,-0.9247250037440301,-0.8719696824971146,-0.9104230671326189,0.03845338463550434,1.3482013454267892,0.9695372707961468,-0.9931624531745911,SNA,none,0
39,300,-0.8607907206307253,-0.8446264148760595,-0.8847789158882581,0.040152501012198624,1.8911802253271528,0.7427999034863991,-0.9931624531745911,SNA,none,0
39,625,-0.898218625811805,-0.8563538816525257,-0.896237867218501,0.039883985565975305,2.078027553199407,0.8403544588498589,-0.9931624531745911,SNA,none,0
40,0,-0.8672488454183193,-0.8563538816525257,-0.896237867218501,0.039883985565975305,1.2033915480661082,0.8844970403489192,-0.8982186317443848,SNA,none,0
40,20,-1.0255530513416589,-0.9169108500610698,-0.9558447995761186,0.03893394951504888,1.3209408263613498,0.7911944748603811,-0.8982186317443848,SNA,none,0
40,300,-0.9709664405050884,-0.9172734082936718,-0.956604335571587,0.03933092727791518,1.9706990809783602,0.8872010134224264,-0.8982186317443848,SNA,none,0
40,625,-1.016784985625371,-0.9680577199113988,-1.007201938070307,0.03914421815890819,2.1984115627110743,0.9266797095010617,-0.8982186317443848,SNA,none,0
