seed,unit,t0,p_hat,x,r,w_norm,cos_u_mu,event_dead_0_05,event_strict_dead,r_group,p_bin,x_bin
3,21,300000,0.09375,-0.4025403676684469,3.47368942443892,3.4969353675842285,-0.11511232703924179,1,1,high,low,low
3,24,400000,0.78125,0.2786619685329903,1.7175599719271775,1.740018606185913,0.16014884412288666,1,1,low,high,high
3,25,500000,0.5,0.11861823188703191,2.8080698410328173,2.8105740547180176,0.042204272001981735,1,1,mid,high,high
3,28,300000,0.0625,-0.28729292100031323,2.5678152883437977,2.583836793899536,-0.11118849366903305,1,1,mid,low,mid
3,30,500000,0.0625,-0.4735356851653165,2.8631659314810576,2.9020605087280273,-0.16317223012447357,1,1,mid,low,low
3,30,600000,0.0625,-0.39319817920296884,2.9222747117990044,2.948608875274658,-0.1333504021167755,1,1,mid,low,low
3,31,400000,0.0625,-0.31956483966999016,2.2782658326923784,2.3005688190460205,-0.13890688121318817,1,1,low,low,mid
3,32,400000,0.0625,-0.7355472457816106,3.1758998919829327,3.25996470451355,-0.22563043236732483,1,1,mid,low,low
3,35,400000,0.1875,-0.12249193735444752,2.266935013161199,2.2702419757843018,-0.053955454379320145,1,1,low,mid,mid
3,38,200000,0.0625,-0.35944358064282866,3.0400718910079823,3.0612475872039795,-0.1174173504114151,1,1,high,low,low
3,38,400000,0.09375,-0.22441625084381656,3.2502793167913557,3.2580175399780273,-0.06888122856616974,1,1,high,low,mid
3,39,400000,0.09375,-0.5568227552558902,3.117434384971443,3.1667726039886475,-0.17583288252353668,1,1,mid,low,low
3,40,200000,0.15625,-0.4486065633890455,2.898654327665334,2.9331629276275635,-0.1529429405927658,1,1,high,mid,low
3,42,600000,0.28125,-0.23704487481953151,2.3417877934821014,2.3537545204162598,-0.10070925951004028,1,1,low,mid,mid
3,48,200000,0.09375,-0.19690434493520925,1.4476558399567723,1.460985541343689,-0.13477501273155212,1,1,low,low,mid
3,49,200000,0.0625,-0.3984868216678592,2.822682727991912,2.8506717681884766,-0.1397869884967804,1,1,high,low,low
3,49,600000,0.40625,0.14498479058410396,3.484017955488382,3.4870333671569824,0.0415782630443573,1,1,mid,high,high
3,51,400000,0.1875,-0.32348231511345915,3.3643830619349173,3.3798985481262207,-0.09570769965648651,1,1,high,mid,mid
3,55,400000,0.125,-0.36947757467808984,2.738187815430784,2.76300311088562,-0.133723184466362,1,1,mid,low,low
3,56,200000,0.25,-0.269979000927993,3.0312954863196913,3.0432944297790527,-0.08871274441480637,1,1,high,mid,low
3,57,400000,0.1875,-0.10198705484978632,1.5051718733762898,1.5086231231689453,-0.06760273873806,1,1,low,mid,mid
3,60,400000,0.125,-0.31381452371405416,2.401108306143295,2.4215285778045654,-0.12959356606006622,1,1,mid,low,mid
3,61,500000,0.0625,-0.3094101465275294,2.6403422010444917,2.658409595489502,-0.1163891926407814,1,1,low,low,mid
3,66,200000,0.28125,-0.16527620824285805,2.4579887689282125,2.4635391235351562,-0.06708893179893494,1,1,mid,mid,mid
3,68,200000,0.125,-0.3021590179145335,2.4064237859305964,2.4253196716308594,-0.12458523362874985,1,1,mid,low,low
3,69,400000,0.0625,-0.5902781061037956,3.2585307945056554,3.31156325340271,-0.1782475709915161,1,1,high,low,low
3,75,600000,0.625,0.11892141865619266,3.2313107522933415,3.2334983348846436,0.03677794337272644,1,1,mid,high,high
3,77,400000,0.6875,0.3403248737174689,3.7157499007774173,3.731302499771118,0.0912080630660057,1,1,high,high,high
3,86,200000,0.375,-0.17941937411698206,5.089761786797525,5.092923164367676,-0.0352291539311409,1,1,high,high,mid
3,86,300000,0.34375,-0.25170728932419273,5.218873402952639,5.224939823150635,-0.04817419871687889,1,1,high,high,mid
3,86,400000,0.0625,-0.9725354116170593,5.016188666319689,5.109596252441406,-0.19033508002758026,1,1,high,low,low
3,86,500000,0.46875,0.04891174946686805,4.254298860569644,4.254580020904541,0.011496257968246937,1,1,high,high,high
3,87,400000,0.15625,-0.13882415864167186,1.5060051188623822,1.5123900175094604,-0.09179124236106873,1,1,low,mid,mid
3,89,300000,0.1875,-0.3756922262706581,3.4680283898744473,3.48831844329834,-0.10770009458065033,1,1,high,mid,low
3,90,400000,0.0625,-0.48634287067263315,4.683991713529249,4.70917272567749,-0.10327564924955368,1,1,high,low,low
3,91,300000,0.6875,0.15298080330507524,3.3668210489561106,3.3702948093414307,0.04539092630147934,1,1,high,high,high
3,91,400000,0.15625,-0.782200089398053,3.842610031361461,3.9214141368865967,-0.19946888089179993,1,1,high,mid,low
3,95,400000,0.125,-0.13869727085589822,1.5020598671964946,1.5084497928619385,-0.09194689244031906,1,1,low,low,mid
3,98,400000,0.4375,0.09037758300743715,3.4459161332890895,3.44710111618042,0.026218431070446968,1,1,high,high,high
3,99,300000,0.15625,-0.29501975669603553,1.9931116671603333,2.0148277282714844,-0.1464243084192276,1,1,low,mid,mid
4,0,400000,0.15625,-0.628812828647753,3.269749939094668,3.329665184020996,-0.18885166943073273,1,1,high,mid,low
4,0,500000,0.0625,-0.9191417178493921,4.444920571607058,4.5389580726623535,-0.2025005966424942,1,1,high,low,low
4,4,300000,0.3125,-0.12977315097995046,4.073119910954809,4.075186729431152,-0.03184471279382706,1,1,high,high,mid
4,5,600000,0.5,-0.036160517802517944,3.8260117269618954,3.8261826038360596,-0.00945080816745758,1,1,high,high,high
4,10,200000,0.1875,-0.29134922004955044,3.5993617177894497,3.6111340522766113,-0.08068080991506577,1,1,high,mid,low
4,14,400000,0.1875,-0.32524248115976206,3.9458736945972968,3.9592552185058594,-0.08214738965034485,1,1,high,mid,mid
4,15,200000,0.6875,0.3034979476148525,2.9070371919250655,2.922837018966675,0.10383676737546921,1,1,high,high,high
4,27,300000,0.1875,-0.26687125353599406,2.9452003828219975,2.9572665691375732,-0.09024254232645035,1,1,high,mid,mid
4,36,600000,0.5,0.10809722295039137,5.106338871239214,5.10748291015625,0.021164480596780777,1,1,high,high,high
4,40,300000,0.3125,-0.15011713025606,3.965800158340661,3.9686403274536133,-0.03782583400607109,1,1,high,high,mid
4,44,300000,0.09375,-0.6367076147107724,4.406455381493598,4.452218055725098,-0.14300908148288727,1,1,high,low,low
4,52,400000,0.5,0.18237387540296623,4.793331009909746,4.796799182891846,0.03801991045475006,1,1,high,high,high
4,52,500000,0.34375,-0.20826720557971612,4.971538300007598,4.975898742675781,-0.04185519367456436,1,1,high,high,mid
