task,f,shock_ce,shock_acc,gate_corr,gate_l1,N,N2,D2,cos,arm,k,act,param,seed,actname,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,sigma,zbar,nz,acc
50,0.9017857142857143,0.1428118497133255,0.957275390625,0.9232108484947602,0.19269435725558656,5.094960702888198,26.170935107136486,0.28312103383463993,0.025271949868475637,K010_ELU1,0.1,elu,1.0,1,ELU1,0.000143721743647672,0.279808490184766,2.280103382448685e-05,0.3005703247679846,74.94815563445536,0.045474986868972785,0.35115581745272423,1.0,8.881784197001252e-15,0.017778053051022563,15.9253115637629,2.6420083199667523,-1.5661790515211746,1.0,0.9671000242233276
51,0.9056122448979592,0.17431892454624176,0.94482421875,0.9154372581805396,0.20477472889414267,5.136199943550532,26.59126976218723,0.28723163620369146,0.024484270706676706,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
52,0.9005102040816326,0.19317930936813354,0.935546875,0.9260016929913362,0.18179884826483778,5.178349091758102,27.025370467407875,0.27799084763074405,0.028594822002391145,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
53,0.9017857142857143,0.1916288584470749,0.94482421875,0.9181506311424378,0.19595767009228832,5.216774846180885,27.423286305093853,0.27987473958462944,0.02157856545880413,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
54,0.9017857142857143,0.15875503420829773,0.9521484375,0.9205680027700842,0.19349424449615887,5.256726151767232,27.84185126287033,0.26272478014423256,0.029636918161913918,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
55,0.9005102040816326,0.13109616935253143,0.95751953125,0.9212141112289569,0.1944759267679347,5.28996687321534,28.195752486537394,0.2780005786935754,0.012139457683610688,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
56,0.9005102040816326,0.15912625193595886,0.947998046875,0.9185959476203308,0.20367458261621693,5.333297688780009,28.658779775224144,0.3068724249647672,0.026261551248055293,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
57,0.9017857142857143,0.24057188630104065,0.925537109375,0.9031558969921353,0.22532992801776724,5.374476166679715,29.099425214130687,0.2960137560839099,0.02348554447105628,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
58,0.9030612244897959,0.16241009533405304,0.95068359375,0.9224025942313012,0.1972758513526099,5.40927079180454,29.473915924175063,0.2901294582827355,0.01458033275010705,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
59,0.9030612244897959,0.10938163846731186,0.966064453125,0.9328786891450644,0.18080055334635675,5.444879871159198,29.861270135278936,0.2467656127564092,0.026112989413393593,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
60,0.9017857142857143,0.14930902421474457,0.951171875,0.9350765990398715,0.17122080570025455,5.4772112721878266,30.21421800763601,0.29103948410043934,0.010256068250543664,K010_ELU1,0.1,elu,1.0,1,ELU1,0.00011604812883862369,0.27760633693207526,1.976314553878088e-05,0.2867346648878182,73.76876241427307,0.04342477593853293,0.35648692968370627,1.0,1.4210854715202004e-14,0.01732609520093338,16.797753950051057,2.8495832142464854,-1.6097623558572014,1.0,0.9664999842643738
61,0.9017857142857143,0.15431267023086548,0.94677734375,0.9259097376557374,0.1879154701286754,5.5145288415960065,30.625352535051878,0.28487143413010707,0.021615173044197106,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
62,0.9017857142857143,0.1649085283279419,0.947998046875,0.9012549777905327,0.2236922795680778,5.552468129855031,31.044600528131976,0.29712073623458557,0.01995585914969079,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
63,0.9017857142857143,0.23620586097240448,0.92138671875,0.9155707438886163,0.20804205424798183,5.590643271593276,31.46807050864356,0.2989864725924707,0.020561545025904203,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
