act,env,lo,hi,n,early,eP,eB,eV,early_updown,late,lP,lB,lV,late_updown
ELU1,RL,-2.0,-1.0,981,-1.1135115130078774,-1.1564590647993973,-0.08130619707526845,0.12425333526162301,0.5573262516066123,0.4210016369282953,5.489146226077942,-4.074071899451129,-0.9940747224117132,1.0422305583108027
ELU1,RL,-4.0,-2.0,2620,-1.045169586400959,-0.9782044084952689,-0.09600957820734138,0.029043471213707896,0.49612677845385084,0.5040157635607012,3.83735880305712,-2.534565453447382,-0.798781810936706,1.064189953746258
ELU1,RL,-8.0,-4.0,6543,-0.7180982190062729,-0.7370517298390733,-0.020172799387087523,0.03912601145222333,0.47123619211919093,0.371658126714096,1.3499617023931287,-0.6771964905523212,-0.3011089654871467,1.0821649806254607
ELU1,RL,-16.0,-8.0,15582,-0.30862916829688497,-0.3312528097105392,-0.006881208304404142,0.02950464450731368,0.5745097012800905,0.33970156058326545,0.481799044222542,-0.07759523607887109,-0.06450367304972045,1.1541575857572213
ELU1,RL,-inf,-16.0,8905,-0.059146305682120134,-0.08524551512935899,0.0010668121199400881,0.025031422214179817,0.8001631698652991,0.29905606642399357,0.26889599508267237,0.009911011509993758,0.020246223662477855,1.3185688766375299
ELU1,PM,0.0,inf,10270,-0.875772654405958,-1.0696766648613643,0.10120711839355247,0.09269682928067151,0.8536546463750968,0.14320685967360097,0.6483696750434073,-0.41908370958469765,-0.08607916470270048,1.0630902721156417
ELU1,PM,-1.0,0.0,2830,-1.4552098930360644,-1.5516923061748393,-0.08663879971391686,0.1831211935410552,0.7357007149578126,0.3575824154651119,1.2209315799796687,-0.6993742114410358,-0.16397519078985298,1.273301949144476
ELU1,PM,-2.0,-1.0,2967,-1.5601248290471583,-1.3687691653648615,-0.29611232834352125,0.10475670672085508,0.7209803906270982,0.43870691981804943,1.3448026908014652,-0.6933447994278845,-0.21275134752552444,1.3239758635100198
ELU1,PM,-4.0,-2.0,6237,-1.3143674071672162,-0.9262680205713155,-0.29738141379544325,-0.09071798898958085,0.7655626674693583,0.5355396716097772,1.6422571550097873,-0.7986767140107819,-0.3080415058249939,1.3422506562514198
ELU1,PM,-8.0,-4.0,10852,-0.7403992432655102,-0.33843402026668723,-0.20900438664979581,-0.19296089172745784,0.8649806196769819,0.6832264242692306,2.1119772896895714,-0.9309865562972902,-0.49776660493054536,1.35108966877458
ELU1,PM,-16.0,-8.0,10166,0.43981294728715675,0.663792666860378,-0.022347201084264464,-0.2016328453934347,1.086651569385522,1.0242807338349298,3.0417383079960727,-1.0154142481945923,-1.0020540627286603,1.3744137642474863
ELU1,PM,-inf,-16.0,1378,1.9622961355424522,1.5300711514784013,0.33723300007999907,0.09498999090287402,1.4903593183226405,1.8055249342056263,3.848918719487384,-0.6338710428169764,-1.4095635362126522,1.4799765477429128
R,RL,0.0,inf,106,-3.1065919589835995,-3.1065925715349128,0.0,0.0,0.4419774603214905,-0.026155780895175305,-0.026155223790935798,0.0,0.0,0.9984268190063715
