coord,binset,bin,lo,hi,n,depth_med,depth_mid,inc_med,inc_mean,inc_p_up,inc_frac_zero,ulp_med,med_over_ulp,lnmob_med,resid_med,inc_med_seed_n,inc_med_seed_med,inc_med_seed_min,inc_med_seed_max,inc_med_seed_mean,inc_med_seed_sd,inc_med_seed_se,inc_med_hi2se,inc_med_lo2se,inc_iqr,inc_frac_gt_1e3,key,arm,window,family,dial,pos
zmax,abs,0-1,0.0,1.0,175287,0.4807851016521454,0.5,0.0005583763122558594,0.008057121644902165,0.5825531842064728,0.00021108239629864166,4.76837158203125e-07,1171.0,-3.544985398579011,-3.1084641654338503,10,0.0005708932876586914,0.0003509521484375,0.0008640289306640625,0.0005849651992321014,0.00018500072386427613,5.8502365619097955e-05,0.0007019699304702974,0.0004679604679939055,0.011595048010349274,0.7907203614643413,E_1216@15M,E_1216,15M,elu,1.0,5
zmax,abs,1-3,1.0,3.0,251975,1.843456506729126,2.0,-9.5367431640625e-07,0.0015633639353515492,0.4992558785593809,0.0004444885405298145,9.5367431640625e-07,1.0,-4.866101984287143,-3.0770148614591744,10,3.5762786865234375e-06,-3.337860107421875e-05,2.002716064453125e-05,-2.384185791015625e-06,1.6187121337860203e-05,5.1188172189150205e-06,7.853448646814416e-06,-1.2621820228845666e-05,0.008440732955932617,0.7530389919634884,E_1216@15M,E_1216,15M,elu,1.0,5
zmax,abs,3-6,3.0,6.0,105713,3.8203139305114746,4.5,9.5367431640625e-07,-0.000712156979143876,0.5008560914930047,0.0018540766036343685,9.5367431640625e-07,1.0,-6.823958459960928,-3.0302911123527956,10,0.0,-4.76837158203125e-06,7.62939453125e-06,1.1444091796875e-06,4.041099187741776e-06,1.2779077683920402e-06,3.7002247164715805e-06,-1.4114063570965804e-06,0.0022726058959960938,0.5244482703168012,E_1216@15M,E_1216,15M,elu,1.0,5
zmax,abs,6-10,6.0,10.0,9775,6.779358386993408,8.0,0.0,4.222021078514626e-06,0.4958567774936061,0.04020460358056266,9.5367431640625e-07,0.0,-9.807245352346566,-3.0242669803678854,10,2.384185791015625e-07,-3.814697265625e-06,7.62939453125e-06,1.1444091796875e-06,3.1485698736608844e-06,9.95665217295699e-07,3.1357396142788977e-06,-8.46921254903898e-07,0.00017547607421875,0.1070076726342711,E_1216@15M,E_1216,15M,elu,1.0,5
zmax,abs,>10,10.0,inf,473,10.967839241027832,10.967839241027832,0.0,-5.141373164558007e-07,0.24101479915433405,0.5158562367864693,1.9073486328125e-06,0.0,-14.079041796136362,-3.023804064398661,1,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,E_1216@15M,E_1216,15M,elu,1.0,5
zmax,abs,0-1,0.0,1.0,174302,0.47872552275657654,0.5,0.00024849921464920044,0.0055851793214836305,0.5704581703021193,0.0004302876616447316,4.76837158203125e-07,521.140625,-3.543849837574972,-3.108729826600126,10,0.00025272369384765625,0.0001506805419921875,0.00043010711669921875,0.000261533260345459,9.462201762111589e-05,2.9922109248331348e-05,0.0003213774788421217,0.0002016890418487963,0.0073174238204956055,0.7145987997842824,E_1216@15M,E_1216,15M,elu,1.0,6
zmax,abs,1-3,1.0,3.0,250874,1.844731330871582,2.0,-1.9073486328125e-06,0.0012075912027065465,0.4981982987475785,0.0009088227556462607,9.5367431640625e-07,2.0,-4.867844835325412,-3.077214178814255,10,-1.1920928955078125e-06,-2.4080276489257812e-05,1.811981201171875e-05,-2.1457672119140625e-06,1.0734427137313235e-05,3.394523913103085e-06,4.643280614292107e-06,-8.934815038120232e-06,0.0054242610931396484,0.6775751971109003,E_1216@15M,E_1216,15M,elu,1.0,6
zmax,abs,3-6,3.0,6.0,105977,3.818696975708008,4.5,0.0,-0.0007042253375243508,0.49696632288137993,0.00404804816139351,9.5367431640625e-07,0.0,-6.821820450884294,-3.0299529498650495,10,-4.76837158203125e-07,-3.814697265625e-06,5.7220458984375e-06,-9.5367431640625e-08,2.6767138716406357e-06,8.464512478951993e-07,1.5975350641497735e-06,-1.7882699274310237e-06,0.0015439987182617188,0.4508902875152156,E_1216@15M,E_1216,15M,elu,1.0,6
zmax,abs,6-10,6.0,10.0,9771,6.780325412750244,8.0,0.0,2.7918227557552325e-06,0.48244806058745265,0.065806979838297,9.5367431640625e-07,0.0,-9.807564652461412,-3.0242213038593135,10,0.0,0.0,1.9073486328125e-06,5.245208740234375e-07,7.931375471671199e-07,2.5081211468473275e-07,1.026145103392903e-06,2.289664465397204e-08,0.0001220703125,0.08525227714665848,E_1216@15M,E_1216,15M,elu,1.0,6
zmax,abs,>10,10.0,inf,473,10.9678316116333,10.9678316116333,0.0,-1.1512643439069106e-06,0.2156448202959831,0.5856236786469344,1.9073486328125e-06,0.0,-14.079041796136362,-3.023804290498445,1,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,E_1216@15M,E_1216,15M,elu,1.0,6
