task,N,N2,D2,erode,cos,arm,kind,param,seed,S2,D2_track,rho,G1,G5,G25,G125,G625,A1,A2,A3,A4,A5,A10,A20,A50,A100,A200,A400,X,X_hat,X_short_frac,X_long_frac,kap1,kap2,graw,gcorr,sigma,zbar,acc
77,5.720073525470991,32.73852765826202,0.6855757743855109,-0.25751815214741036,-0.02824426797829804,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,5.753659629592432,33.12374924340938,0.7010727195222739,-0.3158511343749215,-0.033896908144637666,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,5.788162707430038,33.52150580236676,0.7226314442426874,-0.3248748852852956,-0.03412297819776156,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,5.8201951077561285,33.89288013382671,0.7274463426353521,-0.35607201117540194,-0.037171987164407304,SN15,snake,1.5,0,0.023381378791525284,0.7274463426353521,31.1122089557447,1.0,4.348581839450783,12.212860364647812,20.590102939332603,31.1122089557447,0.9068764885864576,0.8187499966861755,0.7367396753700669,0.6593786697149886,0.5891175752258541,0.3072701634931725,0.0867605822876175,0.03176979835822915,0.01905477027093661,0.02818372867453395,0.01263979306420375,0.7040649638438269,0.6174226728161644,0.5425135128441236,0.4574864871558764,0.11701306251231051,0.055571689330718245,0.10449588531604605,0.0018570363942875575,2.243252899127012,-0.6171674757860098,0.890999972820282
81,5.853497548446871,34.280905457647194,0.7367511224342965,-0.3487257986138202,-0.03578554088090875,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,5.88548289996787,34.65738598536166,0.6868939003625855,-0.31041337264811936,-0.032875351102565606,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,5.919948866561196,35.064159837936074,0.7631787859829054,-0.35640493340849005,-0.03502170594427338,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,5.9532417440842424,35.46013337948909,0.7241632934936065,-0.32818975194058714,-0.03329143758519903,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,5.982271645851519,35.805935158111645,0.7406639619435177,-0.39486218332096745,-0.03995775376480019,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,6.014213971505179,36.187902264524965,0.6663732873514908,-0.28440618093817405,-0.03011983355396821,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,6.047259916651409,36.58703538348809,0.7173457517895292,-0.31821263282639434,-0.03181803222958284,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,6.07920253455578,36.974625040446305,0.7217618271310332,-0.33417217017282597,-0.033989078885913515,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,6.1096203895084065,37.34578286252806,0.7119843804357783,-0.3408265583540135,-0.03401844457804796,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
