task,N,N2,D2,cos,w2col,arm,eps,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,phi2_probe,sigma,zbar,posfrac,rad1,rad2,acc,E,E_pred,r_W1b1,r_W2,r_scale
44,5.197228724508521,27.038596679499395,1.0251176356532745,-0.0430130505180009,1.8890490337552388,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
45,5.246954994179407,27.558339488783776,1.0509769448008037,-0.05140171454384618,1.9070729376964841,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
46,5.295051502488928,28.06600068447764,1.0458106322751406,-0.052330557101126496,1.9207117900673987,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
47,5.341894578745428,28.56352875746208,0.9349992304746431,-0.04512205429061941,1.9317100069430675,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
48,5.399881711918522,29.188613367647577,1.0603655509324623,-0.041417195022902205,1.9466535093543647,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
49,5.450932020382442,29.74051905646447,1.1076563308604006,-0.05069016338452977,1.956272038875646,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
50,5.503981346629512,30.324431556839535,1.022735265957285,-0.03794635277056415,1.972449724452684,HP03,0.03,1,0.0011074000603749413,0.04789857776542867,0.0004318495579270447,0.6988200593729609,76.60975659164232,0.07034129354908612,0.19876843807661715,1.0,7.993605777301127e-15,0.023507419043207252,43.50691430979602,0.20973716258067987,3.185225813808288,-2.877110300456643,0.16212890625,-0.0063719695994886895,-0.0014679981890631667,0.9136999845504761,,,,,
51,5.5546575982392,30.887268135293997,1.0745308506036593,-0.044910063901289626,1.981037101386695,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
52,5.610881530505071,31.51488610268604,1.0437661189421121,-0.03738501111865044,1.9979705088839574,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
53,5.663386255324184,32.10878960810402,1.162680435903984,-0.04867965843738565,2.0152686213812694,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
54,5.711502104306422,32.65585873986416,1.1570637368760088,-0.05364452795032041,2.0191730447262946,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
55,5.762477419363049,33.23693426969639,1.057276156447102,-0.04111837599212082,2.035918517623097,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
56,5.803830490971763,33.71649928110784,1.0139863498105095,-0.04692729090224307,2.047248764123354,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
