env,checkpoint,layer,seed,branch,pool,first_auc,all_auc,first_end_ce,all_end_ce,first_end_acc,all_end_acc
PM,50,1,1,D5,0,0.10216867934250332,0.1297144148501684,9.418646368430927e-05,0.00011986319441348314,1.0,1.0
PM,50,1,1,C10,0,0.10216867934250332,0.1297144148501684,9.418646368430927e-05,0.00011986319441348314,1.0,1.0
PM,50,1,1,D10,0,0.10216867934250332,0.1297144148501684,9.418646368430927e-05,0.00011986319441348314,1.0,1.0
PM,50,1,1,RB20,0,0.10216867934250332,0.1297144148501684,9.418646368430927e-05,0.00011986319441348314,1.0,1.0
PM,50,1,1,RC20,0,0.10216867934250332,0.1297144148501684,9.418646368430927e-05,0.00011986319441348314,1.0,1.0
PM,50,1,1,RD20,0,0.10216867934250332,0.1297144148501684,9.418646368430927e-05,0.00011986319441348314,1.0,1.0
PM,50,1,2,A,0,0.12450278250580596,0.131731485039345,9.884675819193944e-05,0.00011971466010436415,1.0,1.0
PM,50,1,2,B20,0,0.12450278250580596,0.131731485039345,9.884675819193944e-05,0.00011971466010436415,1.0,1.0
PM,50,1,2,C20,0,0.12450278250580596,0.131731485039345,9.884675819193944e-05,0.00011971466010436415,1.0,1.0
PM,50,1,2,D20,0,0.12450278250580596,0.131731485039345,9.884675819193944e-05,0.00011971466010436415,1.0,1.0
PM,50,1,2,C5,0,0.12450278250580596,0.131731485039345,9.884675819193944e-05,0.00011971466010436415,1.0,1.0
PM,50,1,2,D5,0,0.12450278250580596,0.131731485039345,9.884675819193944e-05,0.00011971466010436415,1.0,1.0
PM,50,1,2,C10,0,0.12450278250580596,0.131731485039345,9.884675819193944e-05,0.00011971466010436415,1.0,1.0
PM,50,1,2,D10,0,0.12450278250580596,0.131731485039345,9.884675819193944e-05,0.00011971466010436415,1.0,1.0
PM,50,1,2,RB20,0,0.12450278250580596,0.131731485039345,9.884675819193944e-05,0.00011971466010436415,1.0,1.0
PM,50,1,2,RC20,0,0.12450278250580596,0.131731485039345,9.884675819193944e-05,0.00011971466010436415,1.0,1.0
