step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss,cos_e1W_e1Sig,cos_e1W_e1M2,cos_e1W_e1Sig_pca,cos_e1W_mu,cos_e1W_e1Sig_signed,top1_frac_alive,w_norm_mean,e1_stability
9000,B_w5_K10000_c0.0_k16_lr0.01_s0,0,0,0,4.27124,2.78216,0.207074,0.514286,0,0.0297493,0.898066,0.0331259,4.56735,0.401749,2.48911,2.48911,0,0.0202725,0.214419,0.214419,0.16829,nan,0.214419,0.401749,1.3698,0.997823
9000,B_w5_K10000_c0.0_k16_lr0.01_s1,0,0,0,4.28809,2.42274,0.226612,0.514286,0,0.00565707,0.401876,0.0140766,4.79065,0.334829,2.9866,2.9866,0,0.0302022,0.330323,0.330323,0.588079,nan,-0.330323,0.334829,1.27602,0.961401
10000,B_w5_K10000_c0.0_lr0.003_s0,0,0,0,4.51248,3.72091,0.221594,0.571429,0,0.00208519,0.809984,0.00257435,4.67939,0.387212,2.58257,2.58257,0,0.0249085,nan,nan,nan,nan,nan,0.387212,1.27708,0.995974
10000,B_w5_K10000_c0.0_lr0.003_s1,0,0,0,4.67813,3.84125,0.248767,0.47619,0,0.00168337,0.621063,0.00271047,4.68963,0.439657,2.2745,2.2745,0,0.0199027,nan,nan,nan,nan,nan,0.439657,1.39146,0.999369
10000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.64117,4.07346,0.168732,0.495238,0,0.00306647,0.78566,0.00390305,4.8311,0.311256,3.21279,3.21279,0,0.0258896,nan,nan,nan,nan,nan,0.311256,1.4552,0.989069
10000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.51468,3.51016,0.31327,0.52381,0,0.00128184,0.469302,0.00273138,4.59422,0.462006,2.16447,2.16447,0,0.0227221,nan,nan,nan,nan,nan,0.462006,1.33273,0.99859
10000,B_w5_K10000_c0.0_k16_lr0.003_s0,0,0,0,4.41052,3.33433,0.239607,0.552381,0,0.0310734,3.16032,0.00983236,4.6854,0.379208,2.63708,2.63708,0,0.0743472,0.0990675,0.0990675,0.0108756,nan,0.0990675,0.379208,1.27061,0.9757
10000,B_w5_K10000_c0.0_k16_lr0.003_s1,0,0,0,4.62217,3.66121,0.255763,0.485714,0,0.0268977,8.08836,0.00332548,4.81035,0.402737,2.48301,2.48301,0,0.185853,0.0665564,0.0665564,0.0746949,nan,0.0665564,0.402736,1.40273,0.997526
10000,B_w5_K10000_c0.0_k16_lr0.01_s0,0,0,0,4.22804,2.66724,0.202589,0.533333,0,0.0026832,0.534641,0.0050187,4.54523,0.398891,2.50695,2.50695,0,0.0136614,0.237574,0.237574,0.183209,nan,0.237574,0.398891,1.37199,0.997313
10000,B_w5_K10000_c0.0_k16_lr0.01_s1,0,0,0,4.261,2.37997,0.226493,0.485714,0,0.00410099,0.369507,0.0110986,4.78412,0.336926,2.96801,2.96801,0,0.0274452,0.340934,0.340934,0.599311,nan,-0.340934,0.336926,1.27162,0.999128
11000,B_w5_K10000_c0.0_lr0.003_s0,0,0,0,4.59601,4.06237,0.202745,0.514286,0,0.0726806,8.63599,0.00841601,4.7807,0.377434,2.64947,2.64947,0,0.438325,nan,nan,nan,nan,nan,0.377434,1.24716,0.916179
11000,B_w5_K10000_c0.0_lr0.003_s1,0,0,0,4.70403,3.96723,0.226694,0.476191,0,0.0613723,5.53315,0.0110917,4.71099,0.422809,2.36513,2.36513,0,0.472672,nan,nan,nan,nan,nan,0.422809,1.3576,0.956752
11000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.70901,3.79737,0.246042,0.447619,0,0.0244236,3.92571,0.00622145,4.64672,0.467603,2.13857,2.13857,0,0.143439,nan,nan,nan,nan,nan,0.467603,1.44068,0.083621
11000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.64176,3.99114,0.257926,0.466667,0,0.0138244,2.32165,0.00595456,4.7127,0.384514,2.60068,2.60068,0,0.161561,nan,nan,nan,nan,nan,0.384514,1.30266,0.993685
11000,B_w5_K10000_c0.0_k16_lr0.003_s0,0,0,0,4.36901,2.66328,0.206887,0.533333,0,0.0704438,6.206,0.0113509,4.72796,0.381747,2.61954,2.61954,0,0.329475,0.26374,0.26374,0.251464,nan,-0.26374,0.381747,1.24911,0.783208
11000,B_w5_K10000_c0.0_k16_lr0.003_s1,0,0,0,4.57308,3.42611,0.2142,0.47619,0,0.182173,13.5418,0.0134526,4.83456,0.376906,2.65318,2.65318,0,0.267469,0.0707671,0.0707671,0.0462119,nan,-0.0707671,0.376906,1.3955,0.955956
