target,feature,a,seed,slope,intercept,r2,spearman,ba
dsigma2,q,0.800000011920929,8.0,0.01265482,2.2464286e-05,0.0005508661270141602,0.018634136852986153,0.5168697218659026
dsigma2,q,0.800000011920929,9.0,0.01265482,2.2464286e-05,-4.6253204345703125e-05,0.019722222774303664,0.5137619556651802
dsigma2,qabs,0.3499999940395355,5.0,0.066227965,-0.013924677,-0.008078575134277344,0.09411104498996449,0.502368536485449
dsigma2,qabs,0.3499999940395355,6.0,0.066227965,-0.013924677,-0.008045673370361328,0.10677475598010863,0.5031518883617347
dsigma2,qabs,0.3499999940395355,7.0,0.066227965,-0.013924677,-0.003667593002319336,0.12447284738825216,0.5057096833343765
dsigma2,qabs,0.3499999940395355,8.0,0.066227965,-0.013924677,-0.0038590431213378906,0.11677397912470683,0.5038345067224057
dsigma2,qabs,0.3499999940395355,9.0,0.066227965,-0.013924677,-0.005405783653259277,0.10688745997818376,0.5040861205829456
dsigma2,qabs,0.4000000059604645,5.0,0.066227965,-0.013924677,-0.005839943885803223,0.12992808798361963,0.5062207741027861
dsigma2,qabs,0.4000000059604645,6.0,0.066227965,-0.013924677,-0.004525899887084961,0.13938770623382882,0.5092465499130079
dsigma2,qabs,0.4000000059604645,7.0,0.066227965,-0.013924677,-0.0006834268569946289,0.1568835230235391,0.5104275678489586
dsigma2,qabs,0.4000000059604645,8.0,0.066227965,-0.013924677,-0.00307464599609375,0.13735868081665625,0.5087027188135035
dsigma2,qabs,0.4000000059604645,9.0,0.066227965,-0.013924677,-0.0026537179946899414,0.13191172623334235,0.5042684891805775
dsigma2,qabs,0.44999998807907104,5.0,0.066227965,-0.013924677,-0.0006725788116455078,0.15773672226413696,0.5075632325674355
dsigma2,qabs,0.44999998807907104,6.0,0.066227965,-0.013924677,-0.0007034540176391602,0.1644740391161552,0.5107275797643
dsigma2,qabs,0.44999998807907104,7.0,0.066227965,-0.013924677,0.0020244717597961426,0.18333835206920926,0.512718472743918
dsigma2,qabs,0.44999998807907104,8.0,0.066227965,-0.013924677,0.0023178458213806152,0.18271856079404153,0.5131498937556128
dsigma2,qabs,0.44999998807907104,9.0,0.066227965,-0.013924677,0.0011237263679504395,0.163074684375981,0.5144083579037118
dsigma2,qabs,0.550000011920929,5.0,0.066227965,-0.013924677,0.004538238048553467,0.1991117356082832,0.5250386006340779
dsigma2,qabs,0.550000011920929,6.0,0.066227965,-0.013924677,0.005166292190551758,0.2025652326801678,0.5208839446534641
dsigma2,qabs,0.550000011920929,7.0,0.066227965,-0.013924677,0.005554854869842529,0.1893151738314438,0.5256556839195441
dsigma2,qabs,0.550000011920929,8.0,0.066227965,-0.013924677,0.00653308629989624,0.20574325603570054,0.5222318279369165
dsigma2,qabs,0.550000011920929,9.0,0.066227965,-0.013924677,0.005925595760345459,0.19689757142040143,0.5292689332831306
dsigma2,qabs,0.6000000238418579,5.0,0.066227965,-0.013924677,0.007016897201538086,0.2007422984623181,0.5261747658972995
dsigma2,qabs,0.6000000238418579,6.0,0.066227965,-0.013924677,0.006423890590667725,0.20270720744800955,0.530014906910613
dsigma2,qabs,0.6000000238418579,7.0,0.066227965,-0.013924677,0.007613718509674072,0.19321518564908888,0.5259441828925404
dsigma2,qabs,0.6000000238418579,8.0,0.066227965,-0.013924677,0.00782012939453125,0.19794333568274294,0.5258710378591827
dsigma2,qabs,0.6000000238418579,9.0,0.066227965,-0.013924677,0.007558941841125488,0.19442271025070562,0.5325205910058242
dsigma2,qabs,0.6499999761581421,5.0,0.066227965,-0.013924677,0.0077484846115112305,0.19644648876038087,0.5255664389553705
dsigma2,qabs,0.6499999761581421,6.0,0.066227965,-0.013924677,0.0077759623527526855,0.19656757225545282,0.5274721502462846
dsigma2,qabs,0.6499999761581421,7.0,0.066227965,-0.013924677,0.009057164192199707,0.18966326143205714,0.5217060430657297
dsigma2,qabs,0.6499999761581421,8.0,0.066227965,-0.013924677,0.00986325740814209,0.19750795548595515,0.5219138261771291
dsigma2,qabs,0.6499999761581421,9.0,0.066227965,-0.013924677,0.008452534675598145,0.19420824605278317,0.5279997805141596
dsigma2,qabs,0.800000011920929,5.0,0.066227965,-0.013924677,0.0014177560806274414,0.23354656030843057,0.5166750856180838
dsigma2,qabs,0.800000011920929,6.0,0.066227965,-0.013924677,-0.00011467933654785156,0.22175742267020207,0.5174592579193338
dsigma2,qabs,0.800000011920929,7.0,0.066227965,-0.013924677,0.009405851364135742,0.23631442053035656,0.5279411578985812
dsigma2,qabs,0.800000011920929,8.0,0.066227965,-0.013924677,0.008703827857971191,0.24146416427266154,0.5245127254114278
dsigma2,qabs,0.800000011920929,9.0,0.066227965,-0.013924677,0.004823148250579834,0.22570766752121565,0.5211986019296301
dsigma2,q_integral,0.3499999940395355,5.0,0.010392057,-0.0012635929,-0.008218884468078613,0.025701986545873926,0.5071275220102451
dsigma2,q_integral,0.3499999940395355,6.0,0.010392057,-0.0012635929,-0.010618925094604492,0.04452712133673176,0.5154068029467447
dsigma2,q_integral,0.3499999940395355,7.0,0.010392057,-0.0012635929,-0.0029540061950683594,0.05909933556962652,0.529017152853515
dsigma2,q_integral,0.3499999940395355,8.0,0.010392057,-0.0012635929,-0.0069065093994140625,0.030625066507866686,0.5126549043227251
dsigma2,q_integral,0.3499999940395355,9.0,0.010392057,-0.0012635929,-0.007187485694885254,0.027174411785589218,0.5112747732208588
dsigma2,q_integral,0.4000000059604645,5.0,0.010392057,-0.0012635929,-0.009148120880126953,0.02656920936517537,0.5120501090798661
dsigma2,q_integral,0.4000000059604645,6.0,0.010392057,-0.0012635929,-0.009462714195251465,0.035585979660887494,0.5198579563071754
dsigma2,q_integral,0.4000000059604645,7.0,0.010392057,-0.0012635929,-0.00022304058074951172,0.0783073958319795,0.5350722656852394
dsigma2,q_integral,0.4000000059604645,8.0,0.010392057,-0.0012635929,-0.00677645206451416,0.017306585484140966,0.5097840748764496
dsigma2,q_integral,0.4000000059604645,9.0,0.010392057,-0.0012635929,-0.0059854984283447266,0.01753607527449729,0.5042543085592261
dsigma2,q_integral,0.44999998807907104,5.0,0.010392057,-0.0012635929,-0.0036696195602416992,0.03270398098627874,0.5143170236796919
dsigma2,q_integral,0.44999998807907104,6.0,0.010392057,-0.0012635929,-0.004265904426574707,0.018823649814171825,0.5063728801379707
dsigma2,q_integral,0.44999998807907104,7.0,0.010392057,-0.0012635929,0.0022052526473999023,0.08684094714825989,0.5306640009693444
dsigma2,q_integral,0.44999998807907104,8.0,0.010392057,-0.0012635929,0.0004087686538696289,0.0468827033941349,0.5168599245490813
dsigma2,q_integral,0.44999998807907104,9.0,0.010392057,-0.0012635929,-0.0007879734039306641,0.03438255295156798,0.5157866258116437
dsigma2,q_integral,0.550000011920929,5.0,0.010392057,-0.0012635929,0.0023525357246398926,0.05387806377025834,0.5234231998854797
