arm,scope,bin_index,cos_lo,cos_hi,n,valid,p_median,ci_lo,ci_hi,bootstrap_finite,outside_scope_n
centered,w_q1,16,0.19999999999999996,0.25,318260,True,0.34375,0.28125,0.375,10000,3717
centered,w_q1,17,0.25,0.29999999999999993,267280,True,0.375,0.3125,0.40625,10000,3717
centered,w_q1,18,0.29999999999999993,0.35,210905,True,0.4375,0.375,0.46875,10000,3717
centered,w_q1,19,0.35,0.3999999999999999,153177,True,0.5,0.4375,0.5,10000,3717
centered,w_q1,20,0.3999999999999999,0.44999999999999984,70391,True,0.46875,0.40625,0.5,10000,3717
centered,w_q1,21,0.44999999999999984,0.4999999999999999,25510,True,0.40625,0.375,0.4375,10000,3717
centered,w_q1,22,0.4999999999999999,0.5499999999999999,9560,True,0.34375,0.28125,0.375,10000,3717
centered,w_q1,23,0.5499999999999999,0.6,3934,True,0.34375,0.25,0.4375,10000,3717
centered,w_q2,0,-0.6,-0.5499999999999999,6647,True,0.1875,0.1875,0.25,10000,7248
centered,w_q2,1,-0.5499999999999999,-0.5,14000,True,0.21875,0.1875,0.28125,10000,7248
centered,w_q2,2,-0.5,-0.44999999999999996,27923,True,0.21875,0.1875,0.28125,10000,7248
centered,w_q2,3,-0.44999999999999996,-0.4,57280,True,0.1875,0.125,0.21875,10000,7248
centered,w_q2,4,-0.4,-0.35,140950,True,0.125,0.09375,0.125,10000,7248
centered,w_q2,5,-0.35,-0.3,263143,True,0.09375,0.0625,0.125,10000,7248
centered,w_q2,6,-0.3,-0.25,317359,True,0.125,0.09375,0.15625,10000,7248
centered,w_q2,7,-0.25,-0.2,339927,True,0.15625,0.125,0.15625,10000,7248
centered,w_q2,8,-0.2,-0.15000000000000002,355184,True,0.1875,0.15625,0.1875,10000,7248
centered,w_q2,9,-0.15000000000000002,-0.10000000000000003,365566,True,0.1875,0.1875,0.21875,10000,7248
centered,w_q2,10,-0.10000000000000003,-0.050000000000000044,359048,True,0.21875,0.1875,0.21875,10000,7248
centered,w_q2,11,-0.050000000000000044,0.0,352350,True,0.21875,0.1875,0.25,10000,7248
centered,w_q2,12,0.0,0.04999999999999993,358775,True,0.25,0.21875,0.25,10000,7248
centered,w_q2,13,0.04999999999999993,0.09999999999999998,362074,True,0.25,0.25,0.28125,10000,7248
centered,w_q2,14,0.09999999999999998,0.1499999999999999,359355,True,0.28125,0.25,0.3125,10000,7248
centered,w_q2,15,0.1499999999999999,0.19999999999999996,357645,True,0.3125,0.28125,0.3125,10000,7248
centered,w_q2,16,0.19999999999999996,0.25,341250,True,0.34375,0.3125,0.375,10000,7248
centered,w_q2,17,0.25,0.29999999999999993,326147,True,0.375,0.34375,0.40625,10000,7248
centered,w_q2,18,0.29999999999999993,0.35,261480,True,0.4375,0.40625,0.46875,10000,7248
centered,w_q2,19,0.35,0.3999999999999999,139138,True,0.40625,0.375,0.4375,10000,7248
centered,w_q2,20,0.3999999999999999,0.44999999999999984,60465,True,0.34375,0.3125,0.375,10000,7248
centered,w_q2,21,0.44999999999999984,0.4999999999999999,30066,True,0.3125,0.28125,0.34375,10000,7248
centered,w_q2,22,0.4999999999999999,0.5499999999999999,15254,True,0.3125,0.28125,0.375,10000,7248
centered,w_q2,23,0.5499999999999999,0.6,6975,True,0.3125,0.28125,0.34375,10000,7248
centered,w_q3,0,-0.6,-0.5499999999999999,18923,True,0.25,0.21875,0.25,10000,26046
centered,w_q3,1,-0.5499999999999999,-0.5,33910,True,0.25,0.21875,0.25,10000,26046
centered,w_q3,2,-0.5,-0.44999999999999996,55039,True,0.21875,0.1875,0.21875,10000,26046
centered,w_q3,3,-0.44999999999999996,-0.4,83531,True,0.1875,0.1875,0.21875,10000,26046
centered,w_q3,4,-0.4,-0.35,136549,True,0.15625,0.15625,0.1875,10000,26046
centered,w_q3,5,-0.35,-0.3,229134,True,0.125,0.125,0.15625,10000,26046
centered,w_q3,6,-0.3,-0.25,322170,True,0.125,0.125,0.15625,10000,26046
centered,w_q3,7,-0.25,-0.2,356419,True,0.15625,0.15625,0.1875,10000,26046
centered,w_q3,8,-0.2,-0.15000000000000002,360264,True,0.1875,0.15625,0.1875,10000,26046
centered,w_q3,9,-0.15000000000000002,-0.10000000000000003,340893,True,0.1875,0.1875,0.21875,10000,26046
centered,w_q3,10,-0.10000000000000003,-0.050000000000000044,326727,True,0.21875,0.1875,0.21875,10000,26046
centered,w_q3,11,-0.050000000000000044,0.0,328517,True,0.21875,0.1875,0.25,10000,26046
centered,w_q3,12,0.0,0.04999999999999993,323315,True,0.25,0.21875,0.25,10000,26046
centered,w_q3,13,0.04999999999999993,0.09999999999999998,329626,True,0.25,0.25,0.28125,10000,26046
centered,w_q3,14,0.09999999999999998,0.1499999999999999,349845,True,0.28125,0.25,0.3125,10000,26046
centered,w_q3,15,0.1499999999999999,0.19999999999999996,362457,True,0.28125,0.28125,0.3125,10000,26046
centered,w_q3,16,0.19999999999999996,0.25,362418,True,0.3125,0.28125,0.34375,10000,26046
centered,w_q3,17,0.25,0.29999999999999993,326732,True,0.34375,0.3125,0.375,10000,26046
centered,w_q3,18,0.29999999999999993,0.35,227537,True,0.34375,0.3125,0.34375,10000,26046
centered,w_q3,19,0.35,0.3999999999999999,136490,True,0.3125,0.3125,0.3125,10000,26046
centered,w_q3,20,0.3999999999999999,0.44999999999999984,83918,True,0.3125,0.28125,0.3125,10000,26046
centered,w_q3,21,0.44999999999999984,0.4999999999999999,53211,True,0.3125,0.3125,0.3125,10000,26046
centered,w_q3,22,0.4999999999999999,0.5499999999999999,33225,True,0.3125,0.3125,0.34375,10000,26046
centered,w_q3,23,0.5499999999999999,0.6,18368,True,0.34375,0.3125,0.34375,10000,26046
centered,w_q4,0,-0.6,-0.5499999999999999,35317,True,0.25,0.25,0.25,10000,68654
centered,w_q4,1,-0.5499999999999999,-0.5,51638,True,0.25,0.21875,0.25,10000,68654
centered,w_q4,2,-0.5,-0.44999999999999996,70608,True,0.21875,0.21875,0.25,10000,68654
centered,w_q4,3,-0.44999999999999996,-0.4,95490,True,0.21875,0.1875,0.25,10000,68654
centered,w_q4,4,-0.4,-0.35,132513,True,0.1875,0.1875,0.21875,10000,68654
centered,w_q4,5,-0.35,-0.3,195869,True,0.1875,0.1875,0.1875,10000,68654
centered,w_q4,6,-0.3,-0.25,281412,True,0.1875,0.15625,0.1875,10000,68654
centered,w_q4,7,-0.25,-0.2,348230,True,0.1875,0.1875,0.1875,10000,68654
centered,w_q4,8,-0.2,-0.15000000000000002,370237,True,0.1875,0.1875,0.21875,10000,68654
centered,w_q4,9,-0.15000000000000002,-0.10000000000000003,358969,True,0.21875,0.1875,0.21875,10000,68654
centered,w_q4,10,-0.10000000000000003,-0.050000000000000044,339419,True,0.21875,0.1875,0.25,10000,68654
centered,w_q4,11,-0.050000000000000044,0.0,322550,True,0.25,0.21875,0.25,10000,68654
centered,w_q4,12,0.0,0.04999999999999993,320373,True,0.25,0.21875,0.28125,10000,68654
centered,w_q4,13,0.04999999999999993,0.09999999999999998,332946,True,0.28125,0.25,0.28125,10000,68654
centered,w_q4,14,0.09999999999999998,0.1499999999999999,351632,True,0.3125,0.28125,0.3125,10000,68654
centered,w_q4,15,0.1499999999999999,0.19999999999999996,363889,True,0.3125,0.3125,0.34375,10000,68654
centered,w_q4,16,0.19999999999999996,0.25,337114,True,0.34375,0.3125,0.375,10000,68654
centered,w_q4,17,0.25,0.29999999999999993,270704,True,0.34375,0.3125,0.34375,10000,68654
centered,w_q4,18,0.29999999999999993,0.35,192257,True,0.3125,0.3125,0.34375,10000,68654
centered,w_q4,19,0.35,0.3999999999999999,132281,True,0.3125,0.28125,0.3125,10000,68654
centered,w_q4,20,0.3999999999999999,0.44999999999999984,95999,True,0.3125,0.28125,0.3125,10000,68654
centered,w_q4,21,0.44999999999999984,0.4999999999999999,71763,True,0.3125,0.3125,0.3125,10000,68654
centered,w_q4,22,0.4999999999999999,0.5499999999999999,51532,True,0.3125,0.3125,0.34375,10000,68654
centered,w_q4,23,0.5499999999999999,0.6,33837,True,0.34375,0.3125,0.34375,10000,68654
