task,N,N2,D2,cos,arm,kind,param,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,phi2_probe,phi2_probe_fwd,sigma,zbar,posfrac,acc
50,4.845038788876007,23.497110610143565,0.7931019048436945,-0.04397219003229457,LIN,linear,0.0,2,0.004643989487769983,1.0,5.7471286084604654e-05,1.0,80.80538655309425,0.08511647594854825,1.0,1.0,7.993605777301127e-15,0.02485075252864743,31.91460314650122,1.0,1.0,1.8290554124908627,0.1389567269808296,0.51583984375,0.8873000144958496
51,4.887907842522486,23.915057386814823,0.7617623959484183,-0.04203597856560814,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
52,4.931308364112308,24.342603558910724,0.8019401850906844,-0.043411253561639024,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
53,4.977379951760438,24.79736265251886,0.8726894872675318,-0.04569632709361,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
54,5.014327477488083,25.168773954580725,0.7689944226073143,-0.046292103365248714,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
55,5.055765949356499,25.58466430255459,0.7502963753429737,-0.03953000805816849,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
56,5.101328421651536,26.047431171122255,0.8624591238820676,-0.044040328170842684,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
57,5.142548232803273,26.47132326865144,0.8136795153016714,-0.043040399431118856,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
58,5.179146227739957,26.849678920362358,0.8082399585429922,-0.047809370268864504,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
59,5.216209514022421,27.235079829320693,0.8226393679993756,-0.04725324011698582,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
60,5.256123662520508,27.652930696834233,0.8384198577470369,-0.04483593739312143,LIN,linear,0.0,2,0.0042905474232216925,1.0,5.405502682395666e-05,1.0,79.37369890121184,0.08127568640562198,1.0,1.0,6.217248937900877e-15,0.02593970488851111,32.3218734118436,1.0,1.0,1.8853055986228175,0.08644910100252909,0.50814453125,0.8828999996185303
61,5.299576527129357,28.111306144847678,0.765316293378239,-0.034519028442982276,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
62,5.334027654853475,28.478541366288045,0.7450757750076983,-0.04298853818917511,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
63,5.373889875288361,28.905744653583216,0.8306503817914228,-0.04239869164255209,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
64,5.4132928233656195,29.33262755005293,0.8238121282646997,-0.04203149156653871,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
65,5.451754022968227,29.750501434554486,0.8646249472593679,-0.04539415362316122,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
66,5.48869716427426,30.15755100680306,0.8604881611687399,-0.04657085219216461,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
67,5.525533526586595,30.563756736038723,0.7786325891496867,-0.039429752402231316,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
68,5.559888299043894,30.94606913187083,0.8174687995145579,-0.04579021784083052,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
69,5.5969095078155275,31.3606014045978,0.8276328767374893,-0.04203434792957581,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
